-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,6.780,24.35
*1-2,Wait,0,0
*1-3,D-CC,18.71,58.70
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.297
0,0.00,3.297
1,15.00,3.347
3,15.00,3.355
5,15.00,3.361
7,15.00,3.369
9,15.00,3.369
13,15.00,3.381
15,15.00,3.384
17,15.00,3.390
19,15.00,3.391
21,15.00,3.394
23,15.00,3.399
25,15.00,3.399
27,15.00,3.402
29,15.00,3.405
31,15.00,3.406
33,15.00,3.406
35,15.00,3.406
37,15.00,3.408
39,15.00,3.412
41,15.00,3.412
43,15.00,3.413
45,15.00,3.413
47,15.00,3.413
49,15.00,3.413
51,15.00,3.413
53,15.00,3.414
55,15.00,3.417
57,15.00,3.420
59,15.00,3.420
61,15.00,3.420
63,15.00,3.420
65,15.00,3.420
67,15.00,3.420
69,15.00,3.420
71,15.00,3.420
73,15.00,3.420
75,15.00,3.420
77,15.00,3.420
79,15.00,3.420
81,15.00,3.420
83,15.00,3.420
85,15.00,3.420
87,15.00,3.420
89,15.00,3.420
91,15.00,3.420
93,15.00,3.420
95,15.00,3.420
97,15.00,3.420
99,15.00,3.421
101,15.00,3.422
103,15.00,3.423
105,15.00,3.424
107,15.00,3.425
109,15.00,3.426
111,15.00,3.427
113,15.00,3.427
115,15.00,3.427
117,15.00,3.427
119,15.00,3.427
121,15.00,3.427
123,15.00,3.427
125,15.00,3.427
127,15.00,3.427
129,15.00,3.427
131,15.00,3.427
133,15.00,3.427
135,15.00,3.427
137,15.00,3.427
139,15.00,3.428
141,15.00,3.427
143,15.00,3.427
145,15.00,3.428
147,15.00,3.428
149,15.00,3.428
151,15.00,3.427
153,15.00,3.428
155,15.00,3.428
157,15.00,3.428
159,15.00,3.427
161,15.00,3.428
163,15.00,3.428
165,15.00,3.428
167,15.00,3.428
169,15.00,3.428
171,15.00,3.428
173,15.00,3.428
175,15.00,3.428
177,15.00,3.428
179,15.00,3.428
181,15.00,3.428
183,15.00,3.428
185,15.00,3.428
187,15.00,3.428
189,15.00,3.428
191,15.00,3.428
193,15.00,3.428
195,15.00,3.428
197,15.00,3.428
199,15.00,3.428
201,15.00,3.428
203,15.00,3.428
205,15.00,3.428
207,15.00,3.428
209,15.00,3.428
211,15.00,3.428
213,15.00,3.428
215,15.00,3.428
217,15.00,3.428
219,15.00,3.428
221,15.00,3.428
223,15.00,3.428
225,15.00,3.428
227,15.00,3.428
229,15.00,3.428
231,15.00,3.428
233,15.00,3.428
237,15.00,3.428
239,15.00,3.428
241,15.00,3.428
243,15.00,3.428
245,15.00,3.428
247,15.00,3.428
249,15.00,3.428
251,15.00,3.428
253,15.00,3.428
255,15.00,3.428
257,15.00,3.428
259,15.00,3.428
261,15.00,3.428
263,15.00,3.428
265,15.00,3.428
267,15.00,3.428
269,15.00,3.428
271,15.00,3.428
273,15.00,3.428
275,15.00,3.428
277,15.00,3.428
279,15.00,3.428
281,15.00,3.428
283,15.00,3.428
285,15.00,3.428
287,15.00,3.428
289,15.00,3.428
291,15.00,3.428
293,15.00,3.428
295,15.00,3.428
297,15.00,3.429
299,15.00,3.429
301,15.00,3.429
303,15.00,3.429
305,15.00,3.430
307,15.00,3.430
309,15.00,3.430
311,15.00,3.430
313,15.00,3.431
315,15.00,3.431
317,15.00,3.431
319,15.00,3.431
321,15.00,3.432
323,15.00,3.432
325,15.00,3.433
327,15.00,3.433
329,15.00,3.433
331,15.00,3.434
333,15.00,3.434
335,15.00,3.434
337,15.00,3.434
339,15.00,3.434
341,15.00,3.434
343,15.00,3.434
345,15.00,3.434
347,15.00,3.434
349,15.00,3.434
351,15.00,3.434
353,15.00,3.434
355,15.00,3.434
357,15.00,3.434
359,15.00,3.434
361,15.00,3.434
363,15.00,3.434
365,15.00,3.434
367,15.00,3.434
369,15.00,3.434
371,15.00,3.434
373,15.00,3.434
375,15.00,3.434
377,15.00,3.435
379,15.00,3.435
381,15.00,3.435
383,15.00,3.434
385,15.00,3.434
387,15.00,3.435
389,15.00,3.435
391,15.00,3.435
393,15.00,3.435
395,15.00,3.435
397,15.00,3.435
399,15.00,3.435
401,15.00,3.435
403,15.00,3.435
405,15.00,3.435
407,15.00,3.435
409,15.00,3.435
413,15.00,3.435
415,15.00,3.435
417,15.00,3.435
419,15.00,3.435
421,15.00,3.435
423,15.00,3.435
425,15.00,3.435
427,15.00,3.435
429,15.00,3.435
431,15.00,3.435
433,15.00,3.435
435,15.00,3.435
437,15.00,3.435
439,15.00,3.435
441,15.00,3.435
443,15.00,3.435
445,15.00,3.435
447,15.00,3.435
449,15.00,3.435
451,15.00,3.435
453,15.00,3.435
455,15.00,3.435
457,15.00,3.435
459,15.00,3.435
461,15.00,3.435
463,15.00,3.435
467,15.00,3.435
469,15.00,3.435
471,15.00,3.435
473,15.00,3.435
475,15.00,3.435
477,15.00,3.436
479,15.00,3.436
481,15.00,3.437
483,15.00,3.437
485,15.00,3.438
487,15.00,3.439
489,15.00,3.440
491,15.00,3.440
493,15.00,3.440
495,15.00,3.440
497,15.00,3.441
499,15.00,3.441
501,15.00,3.441
503,15.00,3.441
505,15.00,3.441
507,15.00,3.441
509,15.00,3.441
511,15.00,3.441
513,15.00,3.441
515,15.00,3.441
517,15.00,3.441
519,15.00,3.442
521,15.00,3.442
525,15.00,3.442
527,15.00,3.442
529,15.00,3.442
533,15.00,3.442
535,15.00,3.442
537,15.00,3.442
539,15.00,3.442
541,15.00,3.442
543,15.00,3.442
545,15.00,3.442
547,15.00,3.442
549,15.00,3.442
551,15.00,3.442
553,15.00,3.442
555,15.00,3.442
557,15.00,3.442
559,15.00,3.442
561,15.00,3.442
563,15.00,3.442
565,15.00,3.442
567,15.00,3.442
569,15.00,3.442
571,15.00,3.442
573,15.00,3.442
575,15.00,3.442
577,15.00,3.443
579,15.00,3.443
581,15.00,3.444
583,15.00,3.445
585,15.00,3.446
587,15.00,3.447
589,15.00,3.448
593,15.00,3.449
595,15.00,3.449
597,15.00,3.449
599,15.00,3.449
601,15.00,3.449
603,15.00,3.449
605,15.00,3.449
607,15.00,3.449
609,15.00,3.449
611,15.00,3.450
613,15.00,3.449
615,15.00,3.450
617,15.00,3.450
619,15.00,3.450
621,15.00,3.450
623,15.00,3.450
625,15.00,3.450
627,15.00,3.450
629,15.00,3.450
631,15.00,3.450
633,15.00,3.450
635,15.00,3.450
637,15.00,3.450
639,15.00,3.450
641,15.00,3.450
643,15.00,3.450
645,15.00,3.450
647,15.00,3.450
649,15.00,3.450
651,15.00,3.450
653,15.00,3.450
655,15.00,3.450
657,15.00,3.450
659,15.00,3.450
661,15.00,3.450
663,15.00,3.450
665,15.00,3.450
667,15.00,3.451
669,15.00,3.451
671,15.00,3.453
673,15.00,3.454
675,15.00,3.455
677,15.00,3.456
679,15.00,3.456
681,15.00,3.456
683,15.00,3.456
685,15.00,3.456
687,15.00,3.456
689,15.00,3.456
691,15.00,3.456
693,15.00,3.456
695,15.00,3.456
697,15.00,3.457
699,15.00,3.457
701,15.00,3.457
703,15.00,3.457
705,15.00,3.457
707,15.00,3.457
709,15.00,3.457
711,15.00,3.457
713,15.00,3.457
715,15.00,3.457
717,15.00,3.457
719,15.00,3.457
721,15.00,3.457
723,15.00,3.457
725,15.00,3.457
727,15.00,3.457
729,15.00,3.457
731,15.00,3.457
733,15.00,3.457
735,15.00,3.457
737,15.00,3.457
739,15.00,3.457
741,15.00,3.458
743,15.00,3.460
745,15.00,3.461
747,15.00,3.461
749,15.00,3.462
751,15.00,3.463
755,15.00,3.463
757,15.00,3.463
759,15.00,3.463
761,15.00,3.463
763,15.00,3.463
765,15.00,3.463
767,15.00,3.463
769,15.00,3.464
771,15.00,3.464
773,15.00,3.464
775,15.00,3.464
777,15.00,3.464
779,15.00,3.464
781,15.00,3.464
783,15.00,3.464
785,15.00,3.464
787,15.00,3.464
789,15.00,3.464
791,15.00,3.464
793,15.00,3.464
795,15.00,3.464
797,15.00,3.464
799,15.00,3.464
