-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,2.994,9.650
*1-2,D-CC,3.998,12.98
*1-3,D-CC,2.992,9.479
*1-4,Wait,0,0
*1-5,Wait,0,0
*1-6,Wait,0,0
*1-7,Wait,0,0
*1-8,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.289
0,0.00,3.289
1,15.00,3.256
3,15.00,3.253
5,15.00,3.249
7,15.00,3.248
9,15.00,3.246
11,15.00,3.245
13,15.00,3.244
15,15.00,3.242
17,15.00,3.241
19,15.00,3.240
21,15.00,3.240
23,15.00,3.238
25,15.00,3.238
27,15.00,3.237
29,15.00,3.235
31,15.00,3.235
33,15.00,3.235
35,15.00,3.235
37,15.00,3.234
39,15.00,3.234
41,15.00,3.233
43,15.00,3.233
45,15.00,3.232
47,15.00,3.232
49,15.00,3.232
51,15.00,3.231
53,15.00,3.231
55,15.00,3.231
57,15.00,3.231
59,15.00,3.230
61,15.00,3.230
63,15.00,3.230
65,15.00,3.230
67,15.00,3.229
69,15.00,3.229
71,15.00,3.229
73,15.00,3.228
75,15.00,3.228
77,15.00,3.228
79,15.00,3.228
81,15.00,3.228
83,15.00,3.227
85,15.00,3.227
87,15.00,3.227
89,15.00,3.227
91,15.00,3.227
93,15.00,3.227
95,15.00,3.227
97,15.00,3.226
99,15.00,3.227
101,15.00,3.226
103,15.00,3.226
105,15.00,3.226
107,15.00,3.226
109,15.00,3.226
111,15.00,3.226
113,15.00,3.226
115,15.00,3.226
117,15.00,3.226
119,15.00,3.226
121,15.00,3.226
123,15.00,3.226
125,15.00,3.225
127,15.00,3.225
129,15.00,3.226
131,15.00,3.225
133,15.00,3.225
135,15.00,3.225
137,15.00,3.225
139,15.00,3.225
141,15.00,3.225
143,15.00,3.225
145,15.00,3.225
147,15.00,3.225
149,15.00,3.225
151,15.00,3.225
153,15.00,3.225
155,15.00,3.225
157,15.00,3.225
159,15.00,3.225
161,15.00,3.225
163,15.00,3.225
165,15.00,3.225
167,15.00,3.225
169,15.00,3.225
171,15.00,3.225
173,15.00,3.225
175,15.00,3.225
179,15.00,3.225
181,15.00,3.225
183,15.00,3.225
185,15.00,3.225
187,15.00,3.225
189,15.00,3.225
191,15.00,3.224
193,15.00,3.225
195,15.00,3.225
197,15.00,3.224
199,15.00,3.224
201,15.00,3.224
203,15.00,3.224
205,15.00,3.224
207,15.00,3.224
209,15.00,3.224
211,15.00,3.224
213,15.00,3.224
215,15.00,3.224
217,15.00,3.224
219,15.00,3.224
221,15.00,3.224
223,15.00,3.224
225,15.00,3.224
227,15.00,3.224
229,15.00,3.224
231,15.00,3.224
233,15.00,3.224
235,15.00,3.224
237,15.00,3.224
239,15.00,3.224
241,15.00,3.224
243,15.00,3.224
245,15.00,3.224
247,15.00,3.224
249,15.00,3.224
251,15.00,3.223
253,15.00,3.224
255,15.00,3.223
257,15.00,3.223
259,15.00,3.223
261,15.00,3.223
263,15.00,3.223
265,15.00,3.223
267,15.00,3.223
269,15.00,3.223
271,15.00,3.223
273,15.00,3.223
275,15.00,3.223
277,15.00,3.223
279,15.00,3.223
281,15.00,3.223
283,15.00,3.223
285,15.00,3.223
287,15.00,3.223
289,15.00,3.223
291,15.00,3.223
293,15.00,3.223
295,15.00,3.223
297,15.00,3.223
299,15.00,3.223
301,15.00,3.222
303,15.00,3.222
305,15.00,3.222
307,15.00,3.222
309,15.00,3.222
311,15.00,3.222
313,15.00,3.222
315,15.00,3.222
317,15.00,3.222
319,15.00,3.222
321,15.00,3.222
323,15.00,3.222
325,15.00,3.222
327,15.00,3.222
329,15.00,3.222
331,15.00,3.222
333,15.00,3.222
335,15.00,3.222
337,15.00,3.222
339,15.00,3.222
341,15.00,3.221
343,15.00,3.221
345,15.00,3.221
347,15.00,3.221
349,15.00,3.221
351,15.00,3.221
353,15.00,3.221
355,15.00,3.221
357,15.00,3.221
359,15.00,3.221
361,15.00,3.221
363,15.00,3.221
365,15.00,3.221
367,15.00,3.221
369,15.00,3.221
371,15.00,3.221
373,15.00,3.221
375,15.00,3.221
377,15.00,3.221
379,15.00,3.221
381,15.00,3.221
383,15.00,3.221
385,15.00,3.221
387,15.00,3.221
389,15.00,3.221
391,15.00,3.221
393,15.00,3.221
395,15.00,3.221
397,15.00,3.220
399,15.00,3.220
401,15.00,3.220
403,15.00,3.220
405,15.00,3.220
407,15.00,3.220
409,15.00,3.220
411,15.00,3.220
413,15.00,3.220
415,15.00,3.220
417,15.00,3.220
419,15.00,3.220
421,15.00,3.220
423,15.00,3.220
425,15.00,3.220
427,15.00,3.220
429,15.00,3.220
431,15.00,3.220
433,15.00,3.220
435,15.00,3.220
437,15.00,3.220
439,15.00,3.220
441,15.00,3.220
443,15.00,3.220
445,15.00,3.220
447,15.00,3.220
449,15.00,3.220
451,15.00,3.220
453,15.00,3.220
455,15.00,3.220
457,15.00,3.220
459,15.00,3.220
461,15.00,3.220
463,15.00,3.220
467,15.00,3.220
469,15.00,3.220
471,15.00,3.219
473,15.00,3.220
475,15.00,3.219
477,15.00,3.219
479,15.00,3.219
481,15.00,3.219
483,15.00,3.219
485,15.00,3.219
487,15.00,3.219
489,15.00,3.219
491,15.00,3.219
493,15.00,3.219
495,15.00,3.219
497,15.00,3.219
499,15.00,3.219
501,15.00,3.219
503,15.00,3.219
505,15.00,3.219
507,15.00,3.219
509,15.00,3.219
511,15.00,3.219
513,15.00,3.219
515,15.00,3.219
517,15.00,3.219
519,15.00,3.219
521,15.00,3.219
523,15.00,3.219
525,15.00,3.219
527,15.00,3.219
529,15.00,3.219
531,15.00,3.219
533,15.00,3.219
535,15.00,3.219
537,15.00,3.219
539,15.00,3.219
541,15.00,3.219
543,15.00,3.219
547,15.00,3.219
549,15.00,3.219
551,15.00,3.219
553,15.00,3.219
555,15.00,3.219
557,15.00,3.218
559,15.00,3.218
561,15.00,3.218
563,15.00,3.218
565,15.00,3.218
567,15.00,3.218
569,15.00,3.218
571,15.00,3.218
573,15.00,3.218
575,15.00,3.218
577,15.00,3.218
579,15.00,3.218
581,15.00,3.218
583,15.00,3.218
585,15.00,3.218
587,15.00,3.218
589,15.00,3.218
591,15.00,3.218
593,15.00,3.218
595,15.00,3.218
597,15.00,3.218
599,15.00,3.218
601,15.00,3.218
603,15.00,3.218
605,15.00,3.218
607,15.00,3.218
609,15.00,3.218
611,15.00,3.218
613,15.00,3.218
615,15.00,3.218
617,15.00,3.218
619,15.00,3.218
621,15.00,3.218
623,15.00,3.218
625,15.00,3.218
627,15.00,3.217
629,15.00,3.217
631,15.00,3.217
633,15.00,3.217
635,15.00,3.217
637,15.00,3.217
639,15.00,3.217
641,15.00,3.217
643,15.00,3.217
645,15.00,3.217
647,15.00,3.217
649,15.00,3.217
651,15.00,3.217
653,15.00,3.217
655,15.00,3.217
657,15.00,3.217
659,15.00,3.217
661,15.00,3.217
663,15.00,3.217
665,15.00,3.217
667,15.00,3.217
669,15.00,3.217
671,15.00,3.217
673,15.00,3.216
675,15.00,3.216
677,15.00,3.216
679,15.00,3.216
681,15.00,3.216
683,15.00,3.216
685,15.00,3.216
687,15.00,3.216
689,15.00,3.216
691,15.00,3.216
693,15.00,3.216
695,15.00,3.216
697,15.00,3.216
699,15.00,3.216
701,15.00,3.216
703,15.00,3.216
705,15.00,3.216
707,15.00,3.216
709,15.00,3.216
711,15.00,3.216
713,15.00,3.216
715,15.00,3.216
717,15.00,3.216
718,15.00,3.216
718,15.00,3.216
720,0.00,3.253
722,6.00,3.240
724,6.00,3.243
726,6.00,3.245
728,6.00,3.245
730,6.00,3.245
734,6.00,3.245
736,6.00,3.245
738,6.00,3.245
740,6.00,3.245
742,6.00,3.246
744,6.00,3.247
746,6.00,3.248
748,6.00,3.249
750,6.00,3.250
752,6.00,3.252
754,6.00,3.252
756,6.00,3.252
758,6.00,3.252
760,6.00,3.252
762,6.00,3.252
764,6.00,3.252
766,6.00,3.252
768,6.00,3.253
770,6.00,3.253
772,6.00,3.253
774,6.00,3.253
776,6.00,3.253
778,6.00,3.253
780,6.00,3.253
782,6.00,3.253
784,6.00,3.253
786,6.00,3.253
788,6.00,3.253
790,6.00,3.253
792,6.00,3.253
794,6.00,3.253
796,6.00,3.253
798,6.00,3.253
800,6.00,3.253
802,6.00,3.253
804,6.00,3.253
806,6.00,3.253
808,6.00,3.253
810,6.00,3.253
812,6.00,3.253
814,6.00,3.253
816,6.00,3.253
818,6.00,3.253
820,6.00,3.253
822,6.00,3.253
824,6.00,3.253
826,6.00,3.253
828,6.00,3.253
830,6.00,3.253
834,6.00,3.253
836,6.00,3.253
838,6.00,3.253
840,6.00,3.253
842,6.00,3.253
844,6.00,3.254
846,6.00,3.254
848,6.00,3.253
850,6.00,3.253
852,6.00,3.254
854,6.00,3.254
856,6.00,3.254
858,6.00,3.254
860,6.00,3.254
862,6.00,3.254
864,6.00,3.254
866,6.00,3.254
868,6.00,3.254
870,6.00,3.254
872,6.00,3.254
874,6.00,3.254
878,6.00,3.254
880,6.00,3.254
882,6.00,3.254
884,6.00,3.254
886,6.00,3.254
888,6.00,3.254
890,6.00,3.254
892,6.00,3.254
894,6.00,3.254
896,6.00,3.254
898,6.00,3.254
900,6.00,3.254
902,6.00,3.254
904,6.00,3.254
906,6.00,3.254
908,6.00,3.254
910,6.00,3.254
912,6.00,3.254
914,6.00,3.254
916,6.00,3.254
918,6.00,3.254
920,6.00,3.254
922,6.00,3.254
924,6.00,3.254
926,6.00,3.254
928,6.00,3.254
930,6.00,3.254
932,6.00,3.254
934,6.00,3.254
936,6.00,3.254
938,6.00,3.254
940,6.00,3.254
942,6.00,3.254
944,6.00,3.254
946,6.00,3.254
948,6.00,3.254
950,6.00,3.254
952,6.00,3.254
954,6.00,3.254
956,6.00,3.254
958,6.00,3.254
960,6.00,3.254
962,6.00,3.254
964,6.00,3.254
966,6.00,3.254
968,6.00,3.254
970,6.00,3.254
972,6.00,3.254
974,6.00,3.254
978,6.00,3.254
980,6.00,3.254
982,6.00,3.254
984,6.00,3.254
986,6.00,3.254
988,6.00,3.254
990,6.00,3.254
992,6.00,3.254
994,6.00,3.254
996,6.00,3.254
998,6.00,3.254
1000,6.00,3.254
1002,6.00,3.253
1004,6.00,3.254
1006,6.00,3.253
1008,6.00,3.254
1010,6.00,3.253
1012,6.00,3.253
1014,6.00,3.253
1016,6.00,3.253
1018,6.00,3.253
1022,6.00,3.253
1024,6.00,3.253
1026,6.00,3.253
1028,6.00,3.253
1030,6.00,3.253
1032,6.00,3.253
1034,6.00,3.253
1036,6.00,3.253
1038,6.00,3.253
1040,6.00,3.253
1042,6.00,3.253
1044,6.00,3.253
1046,6.00,3.253
1048,6.00,3.253
1050,6.00,3.253
1052,6.00,3.253
1054,6.00,3.253
1056,6.00,3.253
1058,6.00,3.253
1060,6.00,3.253
1062,6.00,3.253
1064,6.00,3.253
1066,6.00,3.253
1068,6.00,3.253
1070,6.00,3.253
1072,6.00,3.253
1074,6.00,3.253
1076,6.00,3.253
1078,6.00,3.253
1080,6.00,3.253
1082,6.00,3.253
1084,6.00,3.253
1086,6.00,3.253
1088,6.00,3.253
1090,6.00,3.253
1092,6.00,3.253
1094,6.00,3.253
1096,6.00,3.253
1098,6.00,3.253
1100,6.00,3.253
1102,6.00,3.253
1104,6.00,3.253
1106,6.00,3.253
1108,6.00,3.253
1110,6.00,3.253
1112,6.00,3.253
1114,6.00,3.253
1116,6.00,3.253
1118,6.00,3.253
1122,6.00,3.253
1124,6.00,3.253
1126,6.00,3.253
1128,6.00,3.253
1130,6.00,3.253
1132,6.00,3.253
1134,6.00,3.253
1136,6.00,3.253
1138,6.00,3.253
1140,6.00,3.253
1142,6.00,3.253
1144,6.00,3.253
1146,6.00,3.253
1148,6.00,3.253
1150,6.00,3.253
1152,6.00,3.253
1154,6.00,3.253
1156,6.00,3.253
1158,6.00,3.253
1160,6.00,3.253
1162,6.00,3.253
1166,6.00,3.253
