-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.646,1.790
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.968
0,0.00,2.968
1,10.00,2.946
3,10.00,2.939
5,10.00,2.934
9,10.00,2.926
11,10.00,2.924
13,10.00,2.920
15,10.00,2.917
17,10.00,2.915
19,10.00,2.910
21,10.00,2.909
23,10.00,2.907
25,10.00,2.903
27,10.00,2.902
29,10.00,2.898
31,10.00,2.896
33,10.00,2.895
35,10.00,2.891
37,10.00,2.888
39,10.00,2.887
41,10.00,2.883
43,10.00,2.881
45,10.00,2.880
47,10.00,2.876
49,10.00,2.874
51,10.00,2.873
53,10.00,2.869
55,10.00,2.866
57,10.00,2.866
59,10.00,2.862
61,10.00,2.859
63,10.00,2.858
65,10.00,2.854
67,10.00,2.852
69,10.00,2.851
71,10.00,2.847
73,10.00,2.845
75,10.00,2.844
77,10.00,2.840
79,10.00,2.837
81,10.00,2.836
83,10.00,2.833
85,10.00,2.830
87,10.00,2.829
89,10.00,2.825
91,10.00,2.823
95,10.00,2.816
97,10.00,2.815
99,10.00,2.813
101,10.00,2.808
103,10.00,2.807
105,10.00,2.804
107,10.00,2.801
109,10.00,2.797
111,10.00,2.794
113,10.00,2.794
115,10.00,2.790
117,10.00,2.786
119,10.00,2.785
121,10.00,2.781
123,10.00,2.779
125,10.00,2.775
127,10.00,2.772
129,10.00,2.770
131,10.00,2.765
133,10.00,2.763
135,10.00,2.760
137,10.00,2.757
139,10.00,2.753
141,10.00,2.750
143,10.00,2.748
145,10.00,2.742
147,10.00,2.741
149,10.00,2.735
151,10.00,2.734
153,10.00,2.729
155,10.00,2.727
157,10.00,2.722
159,10.00,2.720
161,10.00,2.715
163,10.00,2.712
165,10.00,2.706
167,10.00,2.705
169,10.00,2.699
171,10.00,2.697
173,10.00,2.691
175,10.00,2.687
177,10.00,2.683
179,10.00,2.678
181,10.00,2.675
183,10.00,2.670
185,10.00,2.665
187,10.00,2.661
189,10.00,2.655
191,10.00,2.650
193,10.00,2.647
195,10.00,2.640
197,10.00,2.635
199,10.00,2.630
201,10.00,2.623
203,10.00,2.618
205,10.00,2.611
207,10.00,2.605
209,10.00,2.598
211,10.00,2.590
213,10.00,2.584
215,10.00,2.576
217,10.00,2.569
219,10.00,2.560
221,10.00,2.553
223,10.00,2.546
225,10.00,2.537
227,10.00,2.528
229,10.00,2.517
231,10.00,2.508
232,10.00,2.498
233,10.00,2.498
