-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,18.57,63.56
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.713
0,0.00,2.713
1,18.00,2.773
3,18.00,2.794
5,18.00,2.808
7,18.00,2.823
9,18.00,2.835
11,18.00,2.845
13,18.00,2.852
15,18.00,2.866
17,18.00,2.874
19,18.00,2.881
21,18.00,2.888
23,18.00,2.896
25,18.00,2.903
27,18.00,2.910
29,18.00,2.917
31,18.00,2.925
33,18.00,2.932
35,18.00,2.939
37,18.00,2.946
39,18.00,2.947
41,18.00,2.954
43,18.00,2.961
45,18.00,2.968
47,18.00,2.968
49,18.00,2.976
51,18.00,2.982
53,18.00,2.983
55,18.00,2.990
57,18.00,2.997
59,18.00,2.998
61,18.00,3.005
63,18.00,3.008
65,18.00,3.012
67,18.00,3.018
69,18.00,3.020
71,18.00,3.026
73,18.00,3.027
75,18.00,3.033
77,18.00,3.034
79,18.00,3.041
81,18.00,3.041
83,18.00,3.048
85,18.00,3.049
87,18.00,3.055
89,18.00,3.056
91,18.00,3.062
93,18.00,3.063
95,18.00,3.069
97,18.00,3.071
99,18.00,3.071
101,18.00,3.077
103,18.00,3.078
105,18.00,3.084
107,18.00,3.085
109,18.00,3.085
111,18.00,3.091
113,18.00,3.092
115,18.00,3.098
117,18.00,3.100
119,18.00,3.100
121,18.00,3.106
123,18.00,3.107
125,18.00,3.107
127,18.00,3.113
129,18.00,3.114
131,18.00,3.115
133,18.00,3.122
135,18.00,3.122
137,18.00,3.124
139,18.00,3.128
141,18.00,3.129
143,18.00,3.130
145,18.00,3.135
147,18.00,3.136
149,18.00,3.136
151,18.00,3.143
153,18.00,3.143
155,18.00,3.143
157,18.00,3.146
159,18.00,3.150
161,18.00,3.151
163,18.00,3.153
165,18.00,3.157
167,18.00,3.158
169,18.00,3.158
171,18.00,3.164
173,18.00,3.165
175,18.00,3.165
177,18.00,3.166
179,18.00,3.172
181,18.00,3.173
183,18.00,3.173
185,18.00,3.174
187,18.00,3.179
189,18.00,3.180
191,18.00,3.180
193,18.00,3.184
195,18.00,3.186
197,18.00,3.187
199,18.00,3.187
201,18.00,3.189
203,18.00,3.194
205,18.00,3.194
207,18.00,3.194
209,18.00,3.195
211,18.00,3.201
213,18.00,3.202
215,18.00,3.202
217,18.00,3.202
219,18.00,3.205
221,18.00,3.208
223,18.00,3.209
225,18.00,3.209
227,18.00,3.211
229,18.00,3.215
231,18.00,3.216
233,18.00,3.216
235,18.00,3.216
237,18.00,3.220
239,18.00,3.223
241,18.00,3.224
243,18.00,3.224
245,18.00,3.224
247,18.00,3.228
249,18.00,3.230
251,18.00,3.230
253,18.00,3.231
255,18.00,3.231
257,18.00,3.233
259,18.00,3.237
261,18.00,3.238
263,18.00,3.238
265,18.00,3.238
267,18.00,3.240
269,18.00,3.245
271,18.00,3.245
273,18.00,3.245
275,18.00,3.245
277,18.00,3.245
279,18.00,3.249
281,18.00,3.252
283,18.00,3.252
285,18.00,3.253
287,18.00,3.253
289,18.00,3.253
291,18.00,3.259
293,18.00,3.259
295,18.00,3.260
297,18.00,3.260
299,18.00,3.260
301,18.00,3.260
303,18.00,3.260
305,18.00,3.264
307,18.00,3.266
309,18.00,3.267
311,18.00,3.267
313,18.00,3.267
315,18.00,3.270
317,18.00,3.274
319,18.00,3.274
321,18.00,3.275
323,18.00,3.275
325,18.00,3.275
327,18.00,3.275
329,18.00,3.276
331,18.00,3.281
333,18.00,3.281
335,18.00,3.281
337,18.00,3.282
339,18.00,3.282
341,18.00,3.282
343,18.00,3.282
345,18.00,3.284
347,18.00,3.287
349,18.00,3.288
351,18.00,3.288
353,18.00,3.289
355,18.00,3.289
357,18.00,3.289
359,18.00,3.289
361,18.00,3.289
363,18.00,3.289
365,18.00,3.289
367,18.00,3.289
369,18.00,3.292
371,18.00,3.294
373,18.00,3.296
375,18.00,3.296
377,18.00,3.296
379,18.00,3.296
381,18.00,3.297
383,18.00,3.297
385,18.00,3.297
387,18.00,3.297
389,18.00,3.297
391,18.00,3.297
393,18.00,3.297
395,18.00,3.297
397,18.00,3.297
399,18.00,3.297
401,18.00,3.297
403,18.00,3.297
405,18.00,3.297
407,18.00,3.297
409,18.00,3.297
411,18.00,3.297
413,18.00,3.297
415,18.00,3.297
417,18.00,3.297
419,18.00,3.297
421,18.00,3.297
423,18.00,3.297
425,18.00,3.298
427,18.00,3.299
429,18.00,3.299
431,18.00,3.300
433,18.00,3.301
435,18.00,3.302
437,18.00,3.302
439,18.00,3.302
441,18.00,3.303
443,18.00,3.303
445,18.00,3.303
447,18.00,3.303
449,18.00,3.303
451,18.00,3.303
453,18.00,3.303
455,18.00,3.303
457,18.00,3.303
459,18.00,3.303
461,18.00,3.303
463,18.00,3.303
465,18.00,3.303
467,18.00,3.303
469,18.00,3.303
471,18.00,3.303
473,18.00,3.303
475,18.00,3.303
477,18.00,3.304
481,18.00,3.304
483,18.00,3.304
485,18.00,3.304
487,18.00,3.304
489,18.00,3.304
491,18.00,3.304
493,18.00,3.304
495,18.00,3.304
497,18.00,3.304
499,18.00,3.304
501,18.00,3.304
503,18.00,3.304
505,18.00,3.304
507,18.00,3.304
509,18.00,3.304
511,18.00,3.304
513,18.00,3.304
515,18.00,3.304
517,18.00,3.304
519,18.00,3.304
521,18.00,3.304
523,18.00,3.304
525,18.00,3.304
527,18.00,3.304
529,18.00,3.304
531,18.00,3.304
533,18.00,3.304
535,18.00,3.304
537,18.00,3.304
539,18.00,3.304
541,18.00,3.304
543,18.00,3.304
545,18.00,3.304
547,18.00,3.304
549,18.00,3.304
551,18.00,3.304
553,18.00,3.304
555,18.00,3.304
557,18.00,3.304
559,18.00,3.304
561,18.00,3.304
563,18.00,3.304
565,18.00,3.304
567,18.00,3.305
569,18.00,3.305
571,18.00,3.306
573,18.00,3.306
575,18.00,3.307
577,18.00,3.307
579,18.00,3.308
581,18.00,3.309
583,18.00,3.309
585,18.00,3.310
587,18.00,3.310
589,18.00,3.310
591,18.00,3.310
593,18.00,3.310
595,18.00,3.310
597,18.00,3.310
599,18.00,3.310
601,18.00,3.310
603,18.00,3.310
605,18.00,3.310
607,18.00,3.310
609,18.00,3.310
611,18.00,3.311
613,18.00,3.310
615,18.00,3.311
617,18.00,3.311
619,18.00,3.311
621,18.00,3.311
625,18.00,3.311
627,18.00,3.311
629,18.00,3.311
631,18.00,3.311
633,18.00,3.311
635,18.00,3.311
637,18.00,3.311
639,18.00,3.311
641,18.00,3.311
643,18.00,3.311
645,18.00,3.311
647,18.00,3.311
649,18.00,3.311
651,18.00,3.311
653,18.00,3.311
655,18.00,3.311
657,18.00,3.311
659,18.00,3.311
661,18.00,3.311
663,18.00,3.311
665,18.00,3.311
667,18.00,3.311
669,18.00,3.312
671,18.00,3.313
673,18.00,3.314
675,18.00,3.315
677,18.00,3.316
679,18.00,3.317
681,18.00,3.317
683,18.00,3.317
685,18.00,3.317
687,18.00,3.317
689,18.00,3.317
691,18.00,3.317
693,18.00,3.317
695,18.00,3.317
697,18.00,3.317
699,18.00,3.317
701,18.00,3.317
703,18.00,3.318
705,18.00,3.318
707,18.00,3.318
709,18.00,3.318
711,18.00,3.318
713,18.00,3.318
715,18.00,3.318
717,18.00,3.318
719,18.00,3.318
721,18.00,3.318
723,18.00,3.318
725,18.00,3.318
727,18.00,3.318
729,18.00,3.318
731,18.00,3.318
733,18.00,3.318
735,18.00,3.318
737,18.00,3.318
739,18.00,3.318
741,18.00,3.318
743,18.00,3.318
745,18.00,3.318
747,18.00,3.318
749,18.00,3.318
751,18.00,3.318
753,18.00,3.319
755,18.00,3.320
757,18.00,3.321
759,18.00,3.322
761,18.00,3.324
763,18.00,3.324
765,18.00,3.325
767,18.00,3.325
769,18.00,3.325
771,18.00,3.325
773,18.00,3.325
775,18.00,3.325
777,18.00,3.325
779,18.00,3.326
781,18.00,3.326
783,18.00,3.326
785,18.00,3.326
787,18.00,3.326
789,18.00,3.326
791,18.00,3.326
793,18.00,3.326
795,18.00,3.326
797,18.00,3.326
799,18.00,3.326
801,18.00,3.326
803,18.00,3.326
805,18.00,3.326
807,18.00,3.326
809,18.00,3.326
811,18.00,3.326
813,18.00,3.326
815,18.00,3.326
865,18.00,3.333
867,18.00,3.333
869,18.00,3.333
871,18.00,3.333
873,18.00,3.333
875,18.00,3.333
877,18.00,3.333
879,18.00,3.333
881,18.00,3.333
883,18.00,3.333
885,18.00,3.334
887,18.00,3.336
889,18.00,3.337
891,18.00,3.338
893,18.00,3.338
895,18.00,3.339
897,18.00,3.339
899,18.00,3.339
901,18.00,3.339
903,18.00,3.339
905,18.00,3.339
907,18.00,3.339
909,18.00,3.339
