-----------EB Tester Software-----------,,,
*Step,Mode,Capacity,Energy
*1-1,D-CC,1.797,5.833
Title:EB Tester Software,,,
------------www.zketech.com--------------,,,
Time(S),Cur(A),Vol(V),
0,0,3.609,
0,0,3.61,
1,18,3.514,
3,18,3.456,
5,18,3.417,
7,18,3.397,
9,18,3.38,
11,18,3.369,
13,18,3.359,
15,18,3.351,
17,18,3.344,
19,18,3.337,
21,18,3.329,
23,18,3.323,
25,18,3.317,
27,18,3.313,
29,18,3.307,
31,18,3.302,
33,18,3.298,
35,18,3.293,
37,18,3.29,
39,18,3.286,
41,18,3.281,
45,18,3.275,
47,18,3.271,
49,18,3.268,
51,18,3.264,
53,18,3.262,
55,18,3.259,
57,18,3.256,
59,18,3.256,
61,18,3.252,
63,18,3.25,
65,18,3.248,
67,18,3.247,
69,18,3.245,
71,18,3.243,
73,18,3.242,
75,18,3.241,
77,18,3.24,
79,18,3.237,
81,18,3.235,
83,18,3.235,
85,18,3.235,
87,18,3.234,
89,18,3.234,
91,18,3.233,
93,18,3.232,
95,18,3.232,
97,18,3.231,
99,18,3.23,
101,18,3.23,
103,18,3.229,
105,18,3.229,
107,18,3.228,
109,18,3.228,
111,18,3.228,
113,18,3.228,
115,18,3.227,
117,18,3.227,
119,18,3.227,
121,18,3.227,
123,18,3.227,
125,18,3.227,
127,18,3.226,
129,18,3.226,
131,18,3.226,
133,18,3.226,
135,18,3.226,
137,18,3.226,
139,18,3.226,
141,18,3.226,
143,18,3.226,
145,18,3.226,
147,18,3.226,
149,18,3.226,
151,18,3.226,
153,18,3.225,
155,18,3.225,
157,18,3.225,
159,18,3.225,
161,18,3.225,
163,18,3.225,
165,18,3.225,
167,18,3.225,
169,18,3.225,
171,18,3.225,
173,18,3.225,
175,18,3.225,
177,18,3.225,
179,18,3.225,
181,18,3.225,
183,18,3.225,
185,18,3.225,
187,18,3.225,
189,18,3.225,
191,18,3.225,
193,18,3.225,
195,18,3.225,
197,18,3.225,
199,18,3.225,
201,18,3.225,
203,18,3.225,
205,18,3.225,
207,18,3.225,
209,18,3.225,
211,18,3.225,
213,18,3.225,
215,18,3.225,
217,18,3.225,
219,18,3.225,
221,18,3.225,
223,18,3.225,
225,18,3.225,
227,18,3.224,
229,18,3.224,
231,18,3.224,
233,18,3.224,
235,18,3.224,
237,18,3.224,
239,18,3.224,
241,18,3.224,
243,18,3.224,
245,18,3.224,
247,18,3.224,
249,18,3.224,
251,18,3.224,
253,18,3.223,
255,18,3.223,
257,18,3.223,
259,18,3.223,
261,18,3.223,
263,18,3.223,
265,18,3.223,
267,18,3.223,
269,18,3.223,
271,18,3.223,
273,18,3.223,
275,18,3.223,
277,18,3.223,
279,18,3.222,
281,18,3.222,
283,18,3.222,
285,18,3.222,
287,18,3.222,
289,18,3.222,
291,18,3.222,
293,18,3.222,
295,18,3.222,
297,18,3.222,
299,18,3.222,
301,18,3.222,
303,18,3.222,
305,18,3.222,
307,18,3.222,
309,18,3.222,
311,18,3.221,
313,18,3.222,
315,18,3.221,
317,18,3.221,
319,18,3.221,
321,18,3.221,
323,18,3.221,
325,18,3.221,
327,18,3.221,
329,18,3.221,
331,18,3.221,
333,18,3.221,
335,18,3.221,
337,18,3.221,
339,18,3.221,
341,18,3.221,
343,18,3.221,
345,18,3.221,
347,18,3.221,
349,18,3.221,
351,18,3.221,
353,18,3.221,
355,18,3.221,
357,18,3.221,
359,18,3.221,
359,18,3.22,
359,18,3.22,
