-----------EB Tester Software-----------,,,,,,,
*Step,Mode,Capacity,Energy,,,,
*1-1,D-CC,2.993,9.66,,,,
*1-2,D-CC,3.998,12.99,,,,
*1-3,D-CC,2.996,9.501,,,,
*1-4,Wait,0,0,,,,
*1-5,C-CV,0.492,1.609,,,,
*1-6,C-CV,0.288,0.945,,totalCap discharge:,,15.883
*1-7,D-CC,3.397,10.79,,,,
*1-8,D-CC,3.279,10.21,,,,
Title:EB Tester Software,,,,,,,
------------www.zketech.com--------------,,,,,,,
Time(S),Cur(A),Vol(V),,,,,
0,0,3.295,,,,,
0,0,3.295,,,,,
1,15,3.259,,,,,
3,15,3.256,,,,,
5,15,3.254,,,,,
7,15,3.252,,,,,
9,15,3.249,,,,,
11,15,3.248,,,,,
13,15,3.247,,,,,
15,15,3.245,,,,,
17,15,3.245,,,,,
19,15,3.244,,,,,
21,15,3.243,,,,,
23,15,3.242,,,,,
25,15,3.241,,,,,
27,15,3.241,,,,,
29,15,3.24,,,,,
31,15,3.24,,,,,
33,15,3.239,,,,,
35,15,3.238,,,,,
37,15,3.238,,,,,
39,15,3.237,,,,,
41,15,3.237,,,,,
43,15,3.236,,,,,
45,15,3.235,,,,,
47,15,3.235,,,,,
49,15,3.235,,,,,
51,15,3.235,,,,,
53,15,3.235,,,,,
55,15,3.235,,,,,
57,15,3.234,,,,,
59,15,3.234,,,,,
61,15,3.234,,,,,
63,15,3.234,,,,,
65,15,3.234,,,,,
67,15,3.233,,,,,
69,15,3.233,,,,,
71,15,3.233,,,,,
73,15,3.233,,,,,
75,15,3.233,,,,,
77,15,3.232,,,,,
79,15,3.232,,,,,
81,15,3.232,,,,,
83,15,3.232,,,,,
85,15,3.232,,,,,
87,15,3.232,,,,,
89,15,3.231,,,,,
91,15,3.231,,,,,
93,15,3.231,,,,,
95,15,3.231,,,,,
97,15,3.231,,,,,
99,15,3.231,,,,,
101,15,3.231,,,,,
103,15,3.231,,,,,
105,15,3.231,,,,,
107,15,3.231,,,,,
109,15,3.231,,,,,
111,15,3.231,,,,,
113,15,3.23,,,,,
115,15,3.23,,,,,
117,15,3.23,,,,,
119,15,3.23,,,,,
121,15,3.23,,,,,
123,15,3.23,,,,,
125,15,3.23,,,,,
127,15,3.23,,,,,
129,15,3.23,,,,,
131,15,3.23,,,,,
133,15,3.23,,,,,
135,15,3.23,,,,,
137,15,3.23,,,,,
139,15,3.23,,,,,
141,15,3.23,,,,,
143,15,3.23,,,,,
145,15,3.23,,,,,
147,15,3.229,,,,,
149,15,3.229,,,,,
151,15,3.229,,,,,
153,15,3.229,,,,,
155,15,3.229,,,,,
157,15,3.229,,,,,
159,15,3.229,,,,,
161,15,3.229,,,,,
163,15,3.229,,,,,
165,15,3.229,,,,,
167,15,3.228,,,,,
169,15,3.228,,,,,
171,15,3.228,,,,,
173,15,3.228,,,,,
175,15,3.228,,,,,
179,15,3.228,,,,,
181,15,3.228,,,,,
183,15,3.228,,,,,
185,15,3.228,,,,,
187,15,3.228,,,,,
189,15,3.228,,,,,
191,15,3.228,,,,,
193,15,3.228,,,,,
195,15,3.228,,,,,
197,15,3.228,,,,,
199,15,3.228,,,,,
201,15,3.228,,,,,
203,15,3.228,,,,,
205,15,3.228,,,,,
207,15,3.228,,,,,
209,15,3.228,,,,,
211,15,3.228,,,,,
213,15,3.227,,,,,
215,15,3.227,,,,,
217,15,3.228,,,,,
219,15,3.227,,,,,
221,15,3.227,,,,,
223,15,3.227,,,,,
225,15,3.227,,,,,
227,15,3.227,,,,,
229,15,3.227,,,,,
231,15,3.227,,,,,
233,15,3.227,,,,,
235,15,3.227,,,,,
237,15,3.227,,,,,
239,15,3.227,,,,,
241,15,3.227,,,,,
243,15,3.227,,,,,
245,15,3.227,,,,,
247,15,3.227,,,,,
249,15,3.227,,,,,
251,15,3.227,,,,,
253,15,3.227,,,,,
255,15,3.227,,,,,
257,15,3.227,,,,,
259,15,3.227,,,,,
261,15,3.227,,,,,
263,15,3.227,,,,,
265,15,3.227,,,,,
267,15,3.227,,,,,
269,15,3.227,,,,,
271,15,3.227,,,,,
273,15,3.227,,,,,
275,15,3.227,,,,,
277,15,3.227,,,,,
279,15,3.226,,,,,
281,15,3.226,,,,,
283,15,3.226,,,,,
285,15,3.226,,,,,
287,15,3.226,,,,,
289,15,3.226,,,,,
291,15,3.226,,,,,
293,15,3.226,,,,,
295,15,3.226,,,,,
297,15,3.226,,,,,
299,15,3.226,,,,,
301,15,3.226,,,,,
303,15,3.226,,,,,
305,15,3.226,,,,,
307,15,3.226,,,,,
309,15,3.226,,,,,
311,15,3.226,,,,,
313,15,3.226,,,,,
315,15,3.226,,,,,
317,15,3.226,,,,,
319,15,3.226,,,,,
321,15,3.226,,,,,
323,15,3.226,,,,,
325,15,3.226,,,,,
327,15,3.226,,,,,
329,15,3.226,,,,,
331,15,3.226,,,,,
333,15,3.226,,,,,
335,15,3.226,,,,,
337,15,3.226,,,,,
339,15,3.226,,,,,
341,15,3.226,,,,,
343,15,3.226,,,,,
345,15,3.226,,,,,
347,15,3.226,,,,,
349,15,3.226,,,,,
351,15,3.226,,,,,
353,15,3.226,,,,,
355,15,3.226,,,,,
357,15,3.225,,,,,
359,15,3.225,,,,,
361,15,3.225,,,,,
363,15,3.225,,,,,
365,15,3.226,,,,,
367,15,3.225,,,,,
369,15,3.226,,,,,
371,15,3.225,,,,,
375,15,3.226,,,,,
377,15,3.225,,,,,
379,15,3.226,,,,,
381,15,3.226,,,,,
383,15,3.225,,,,,
385,15,3.225,,,,,
387,15,3.225,,,,,
389,15,3.225,,,,,
391,15,3.225,,,,,
393,15,3.225,,,,,
395,15,3.225,,,,,
397,15,3.225,,,,,
399,15,3.225,,,,,
401,15,3.225,,,,,
403,15,3.225,,,,,
405,15,3.225,,,,,
407,15,3.225,,,,,
409,15,3.225,,,,,
411,15,3.225,,,,,
413,15,3.225,,,,,
415,15,3.225,,,,,
417,15,3.225,,,,,
419,15,3.225,,,,,
421,15,3.225,,,,,
423,15,3.225,,,,,
425,15,3.225,,,,,
427,15,3.225,,,,,
429,15,3.225,,,,,
431,15,3.225,,,,,
433,15,3.225,,,,,
435,15,3.225,,,,,
437,15,3.225,,,,,
439,15,3.225,,,,,
441,15,3.225,,,,,
443,15,3.225,,,,,
445,15,3.225,,,,,
447,15,3.225,,,,,
449,15,3.225,,,,,
451,15,3.225,,,,,
453,15,3.225,,,,,
455,15,3.225,,,,,
457,15,3.225,,,,,
459,15,3.225,,,,,
461,15,3.225,,,,,
463,15,3.225,,,,,
467,15,3.225,,,,,
469,15,3.225,,,,,
471,15,3.225,,,,,
473,15,3.225,,,,,
475,15,3.225,,,,,
477,15,3.225,,,,,
479,15,3.225,,,,,
481,15,3.225,,,,,
483,15,3.225,,,,,
485,15,3.225,,,,,
487,15,3.225,,,,,
489,15,3.225,,,,,
491,15,3.225,,,,,
493,15,3.225,,,,,
495,15,3.225,,,,,
497,15,3.224,,,,,
499,15,3.224,,,,,
501,15,3.224,,,,,
503,15,3.224,,,,,
505,15,3.224,,,,,
507,15,3.224,,,,,
509,15,3.224,,,,,
511,15,3.224,,,,,
513,15,3.224,,,,,
515,15,3.224,,,,,
