-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,0.000,0.000
*1-2,Wait,0,0
*1-3,D-CC,0.090,0.232
*1-4,Wait,0,0
*2-1,C-CV,0.005,0.013
*2-2,Wait,0,0
*2-3,D-CC,0.012,0.030
*2-4,Wait,0,0
*3-1,C-CV,0.005,0.013
*3-2,Wait,0,0
*3-3,D-CC,0.011,0.028
*3-4,Wait,0,0
*4-1,C-CV,0.005,0.013
*4-2,Wait,0,0
*4-3,D-CC,0.011,0.028
*4-4,Wait,0,0
*5-1,C-CV,0.005,0.013
*5-2,Wait,0,0
*5-3,D-CC,0.010,0.025
*5-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.648
0,0.00,2.648
1,0.00,2.648
1,0.00,2.648
1,0.00,2.648
3,0.00,2.648
5,0.00,2.648
7,0.00,2.648
9,0.00,2.648
11,0.00,2.648
13,0.00,2.648
15,0.00,2.648
17,0.00,2.648
19,0.00,2.648
21,0.00,2.648
23,0.00,2.648
25,0.00,2.648
27,0.00,2.648
29,0.00,2.648
31,0.00,2.648
33,0.00,2.648
35,0.00,2.648
37,0.00,2.648
39,0.00,2.648
41,0.00,2.648
43,0.00,2.648
45,0.00,2.648
47,0.00,2.648
49,0.00,2.648
51,0.00,2.648
53,0.00,2.648
55,0.00,2.648
57,0.00,2.648
59,0.00,2.648
61,0.00,2.648
63,0.00,2.648
65,0.00,2.648
66,0.36,2.648
68,0.36,2.648
70,0.36,2.648
72,0.36,2.648
74,0.36,2.647
76,0.36,2.647
78,0.36,2.647
80,0.36,2.647
82,0.36,2.646
84,0.36,2.644
86,0.36,2.642
88,0.36,2.641
90,0.36,2.640
92,0.36,2.640
94,0.36,2.640
96,0.36,2.640
98,0.36,2.640
100,0.36,2.640
102,0.36,2.640
104,0.36,2.640
106,0.36,2.640
108,0.36,2.640
110,0.36,2.640
112,0.36,2.640
114,0.36,2.640
116,0.36,2.640
118,0.36,2.640
