-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,18.58,63.73
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,18.00,2.509
0,18.00,2.612
2,18.00,2.652
10,18.00,2.736
22,18.00,2.822
25,18.00,2.837
29,18.00,2.858
31,18.00,2.866
33,18.00,2.874
35,18.00,2.881
39,18.00,2.896
44,18.00,2.910
46,18.00,2.917
48,18.00,2.925
50,18.00,2.932
54,18.00,2.944
56,18.00,2.947
60,18.00,2.961
61,18.00,2.968
63,18.00,2.968
76,18.00,2.999
78,18.00,3.005
80,18.00,3.011
82,18.00,3.012
84,18.00,3.019
86,18.00,3.020
89,18.00,3.029
91,18.00,3.034
97,18.00,3.048
101,18.00,3.055
105,18.00,3.062
107,18.00,3.063
109,18.00,3.070
111,18.00,3.071
113,18.00,3.071
115,18.00,3.078
123,18.00,3.091
127,18.00,3.092
135,18.00,3.107
143,18.00,3.115
147,18.00,3.122
149,18.00,3.127
157,18.00,3.136
162,18.00,3.142
166,18.00,3.143
171,18.00,3.151
173,18.00,3.153
179,18.00,3.158
181,18.00,3.164
185,18.00,3.165
189,18.00,3.173
192,18.00,3.173
195,18.00,3.179
200,18.00,3.180
201,18.00,3.181
205,18.00,3.187
212,18.00,3.194
216,18.00,3.194
218,18.00,3.197
220,18.00,3.201
221,18.00,3.202
223,18.00,3.202
225,18.00,3.202
229,18.00,3.209
233,18.00,3.210
235,18.00,3.215
240,18.00,3.216
242,18.00,3.216
249,18.00,3.224
257,18.00,3.231
261,18.00,3.231
265,18.00,3.238
271,18.00,3.240
273,18.00,3.245
281,18.00,3.245
285,18.00,3.252
287,18.00,3.253
289,18.00,3.253
291,18.00,3.253
295,18.00,3.259
297,18.00,3.260
309,18.00,3.266
313,18.00,3.267
315,18.00,3.268
321,18.00,3.275
335,18.00,3.282
339,18.00,3.282
341,18.00,3.282
345,18.00,3.288
347,18.00,3.289
349,18.00,3.289
353,18.00,3.289
355,18.00,3.289
363,18.00,3.296
367,18.00,3.297
369,18.00,3.297
371,18.00,3.297
379,18.00,3.300
383,18.00,3.303
389,18.00,3.303
391,18.00,3.304
393,18.00,3.304
395,18.00,3.304
397,18.00,3.304
399,18.00,3.304
403,18.00,3.304
405,18.00,3.304
407,18.00,3.304
409,18.00,3.304
411,18.00,3.304
415,18.00,3.304
417,18.00,3.304
421,18.00,3.305
423,18.00,3.306
427,18.00,3.307
433,18.00,3.310
435,18.00,3.310
439,18.00,3.310
443,18.00,3.310
445,18.00,3.310
449,18.00,3.310
451,18.00,3.310
453,18.00,3.310
455,18.00,3.310
457,18.00,3.310
463,18.00,3.311
473,18.00,3.311
481,18.00,3.311
487,18.00,3.311
489,18.00,3.311
493,18.00,3.311
497,18.00,3.311
499,18.00,3.311
501,18.00,3.311
503,18.00,3.311
505,18.00,3.311
511,18.00,3.311
513,18.00,3.311
517,18.00,3.311
521,18.00,3.311
523,18.00,3.311
541,18.00,3.311
547,18.00,3.312
551,18.00,3.313
555,18.00,3.314
557,18.00,3.315
565,18.00,3.317
569,18.00,3.317
571,18.00,3.317
573,18.00,3.317
579,18.00,3.317
583,18.00,3.317
587,18.00,3.317
591,18.00,3.317
593,18.00,3.317
595,18.00,3.317
599,18.00,3.318
601,18.00,3.318
607,18.00,3.318
611,18.00,3.318
613,18.00,3.318
615,18.00,3.318
621,18.00,3.318
623,18.00,3.318
627,18.00,3.318
629,18.00,3.318
633,18.00,3.318
635,18.00,3.318
641,18.00,3.318
649,18.00,3.318
651,18.00,3.318
653,18.00,3.318
655,18.00,3.318
657,18.00,3.318
659,18.00,3.318
675,18.00,3.325
677,18.00,3.325
679,18.00,3.325
683,18.00,3.325
685,18.00,3.325
687,18.00,3.325
689,18.00,3.325
693,18.00,3.326
695,18.00,3.326
697,18.00,3.326
699,18.00,3.326
703,18.00,3.326
707,18.00,3.326
709,18.00,3.326
715,18.00,3.326
717,18.00,3.326
721,18.00,3.326
725,18.00,3.326
729,18.00,3.326
731,18.00,3.326
733,18.00,3.326
739,18.00,3.328
749,18.00,3.332
751,18.00,3.332
755,18.00,3.332
763,18.00,3.333
767,18.00,3.333
769,18.00,3.333
775,18.00,3.333
781,18.00,3.333
783,18.00,3.333
785,18.00,3.333
791,18.00,3.333
795,18.00,3.333
797,18.00,3.333
805,18.00,3.333
809,18.00,3.334
813,18.00,3.337
865,18.00,3.340
867,18.00,3.340
873,18.00,3.341
875,18.00,3.341
877,18.00,3.343
879,18.00,3.344
883,18.00,3.346
885,18.00,3.347
889,18.00,3.347
891,18.00,3.347
897,18.00,3.347
899,18.00,3.348
903,18.00,3.347
907,18.00,3.348
909,18.00,3.348
959,18.00,3.354
967,18.00,3.354
969,18.00,3.355
971,18.00,3.355
981,18.00,3.355
983,18.00,3.355
987,18.00,3.355
991,18.00,3.355
993,18.00,3.355
995,18.00,3.355
1001,18.00,3.355
1003,18.00,3.355
1007,18.00,3.355
1011,18.00,3.355
1013,18.00,3.356
1019,18.00,3.358
1021,18.00,3.359
1027,18.00,3.361
1029,18.00,3.361
1033,18.00,3.361
1037,18.00,3.361
1039,18.00,3.361
1047,18.00,3.362
1049,18.00,3.362
1057,18.00,3.362
1061,18.00,3.362
1063,18.00,3.362
1069,18.00,3.362
1071,18.00,3.362
1077,18.00,3.362
1081,18.00,3.362
1083,18.00,3.362
1085,18.00,3.362
1087,18.00,3.362
1089,18.00,3.362
1095,18.00,3.363
1111,18.00,3.369
1115,18.00,3.369
1121,18.00,3.369
1127,18.00,3.369
1129,18.00,3.369
1141,18.00,3.369
1143,18.00,3.369
1147,18.00,3.369
1153,18.00,3.369
1157,18.00,3.369
1163,18.00,3.369
1165,18.00,3.369
1167,18.00,3.369
1169,18.00,3.369
1173,18.00,3.369
1177,18.00,3.370
1179,18.00,3.371
1181,18.00,3.373
1183,18.00,3.374
1185,18.00,3.375
1187,18.00,3.375
1191,18.00,3.376
1193,18.00,3.376
1195,18.00,3.376
1197,18.00,3.376
1205,18.00,3.376
1275,18.00,3.378
1287,18.00,3.382
1289,18.00,3.383
1299,18.00,3.383
1301,18.00,3.383
1305,18.00,3.384
1307,18.00,3.384
1311,18.00,3.384
1313,18.00,3.384
1317,18.00,3.384
1321,18.00,3.384
1323,18.00,3.384
1331,18.00,3.384
1341,18.00,3.384
1343,18.00,3.384
1347,18.00,3.384
1351,18.00,3.384
1353,18.00,3.384
1359,18.00,3.384
1361,18.00,3.384
1363,18.00,3.384
1369,18.00,3.385
1373,18.00,3.386
1375,18.00,3.387
1381,18.00,3.389
1383,18.00,3.389
1393,18.00,3.390
1397,18.00,3.390
1401,18.00,3.390
1405,18.00,3.390
1409,18.00,3.390
1413,18.00,3.390
1417,18.00,3.390
1421,18.00,3.390
1423,18.00,3.391
1425,18.00,3.391
1427,18.00,3.391
1429,18.00,3.391
1433,18.00,3.391
1437,18.00,3.391
1445,18.00,3.391
1447,18.00,3.391
1449,18.00,3.391
1453,18.00,3.391
1463,18.00,3.391
1469,18.00,3.391
1471,18.00,3.391
1473,18.00,3.391
1475,18.00,3.391
1477,18.00,3.391
1485,18.00,3.391
1487,18.00,3.391
1489,18.00,3.391
1493,18.00,3.391
1495,18.00,3.391
1497,18.00,3.391
1501,18.00,3.391
1505,18.00,3.391
1507,18.00,3.391
1509,18.00,3.391
1517,18.00,3.391
1519,18.00,3.391
1521,18.00,3.391
1523,18.00,3.391
1525,18.00,3.391
1527,18.00,3.391
1533,18.00,3.391
1547,18.00,3.394
1551,18.00,3.395
1555,18.00,3.395
1557,18.00,3.396
1561,18.00,3.396
1569,18.00,3.398
1575,18.00,3.398
1581,18.00,3.398
1583,18.00,3.398
1589,18.00,3.398
1593,18.00,3.398
1595,18.00,3.398
1597,18.00,3.398
1601,18.00,3.398
1605,18.00,3.398
1609,18.00,3.398
1611,18.00,3.398
1613,18.00,3.398
1615,18.00,3.398
1617,18.00,3.398
1619,18.00,3.398
1623,18.00,3.398
1625,18.00,3.398
1629,18.00,3.398
1633,18.00,3.398
1637,18.00,3.398
1639,18.00,3.399
1643,18.00,3.399
1647,18.00,3.399
1651,18.00,3.399
1653,18.00,3.399
1655,18.00,3.399
1663,18.00,3.399
1667,18.00,3.399
1673,18.00,3.399
1677,18.00,3.399
1683,18.00,3.399
1687,18.00,3.399
1691,18.00,3.399
1699,18.00,3.399
1707,18.00,3.399
1709,18.00,3.399
1711,18.00,3.399
1715,18.00,3.399
1721,18.00,3.399
1725,18.00,3.399
1729,18.00,3.399
1731,18.00,3.399
1735,18.00,3.399
1737,18.00,3.399
1739,18.00,3.399
1741,18.00,3.399
1743,18.00,3.399
1745,18.00,3.399
1751,18.00,3.399
1753,18.00,3.399
1757,18.00,3.399
1759,18.00,3.399
1763,18.00,3.399
1765,18.00,3.399
1767,18.00,3.399
1771,18.00,3.399
1773,18.00,3.399
1777,18.00,3.399
1781,18.00,3.399
1783,18.00,3.399
1789,18.00,3.399
1793,18.00,3.399
1799,18.00,3.399
1805,18.00,3.399
1807,18.00,3.399
1811,18.00,3.399
1819,18.00,3.399
1823,18.00,3.399
1825,18.00,3.399
1831,18.00,3.399
1833,18.00,3.399
1839,18.00,3.399
1841,18.00,3.399
1845,18.00,3.399
1849,18.00,3.399
1855,18.00,3.399
1859,18.00,3.399
1865,18.00,3.399
1867,18.00,3.399
1869,18.00,3.399
1873,18.00,3.399
1875,18.00,3.399
1879,18.00,3.399
1883,18.00,3.399
1885,18.00,3.399
1887,18.00,3.399
1889,18.00,3.399
1893,18.00,3.399
1899,18.00,3.400
1903,18.00,3.400
1909,18.00,3.401
1913,18.00,3.401
1915,18.00,3.402
1929,18.00,3.403
1933,18.00,3.403
1941,18.00,3.404
1943,18.00,3.404
1945,18.00,3.404
1947,18.00,3.404
1953,18.00,3.405
1955,18.00,3.405
1959,18.00,3.405
1963,18.00,3.405
1965,18.00,3.405
1969,18.00,3.405
1971,18.00,3.405
1979,18.00,3.405
1983,18.00,3.405
1989,18.00,3.405
1991,18.00,3.405
1993,18.00,3.405
2001,18.00,3.405
2007,18.00,3.405
2009,18.00,3.405
2017,18.00,3.405
2019,18.00,3.405
2023,18.00,3.405
2027,18.00,3.405
2031,18.00,3.405
2047,18.00,3.405
2053,18.00,3.406
2055,18.00,3.406
2057,18.00,3.405
2063,18.00,3.406
2065,18.00,3.405
2067,18.00,3.406
2069,18.00,3.406
2071,18.00,3.406
2073,18.00,3.406
2077,18.00,3.406
2079,18.00,3.406
2083,18.00,3.406
2089,18.00,3.406
2099,18.00,3.406
2101,18.00,3.406
2107,18.00,3.406
2113,18.00,3.406
2115,18.00,3.406
2117,18.00,3.406
2119,18.00,3.406
2123,18.00,3.406
2125,18.00,3.406
2127,18.00,3.406
2131,18.00,3.406
2135,18.00,3.406
2141,18.00,3.406
2143,18.00,3.406
2145,18.00,3.406
2149,18.00,3.406
2153,18.00,3.406
2155,18.00,3.406
2159,18.00,3.406
2165,18.00,3.406
2167,18.00,3.406
2171,18.00,3.406
2181,18.00,3.406
2185,18.00,3.406
2187,18.00,3.406
2189,18.00,3.406
2193,18.00,3.406
2195,18.00,3.406
2197,18.00,3.406
2199,18.00,3.406
2203,18.00,3.406
2207,18.00,3.406
2211,18.00,3.406
2215,18.00,3.406
2217,18.00,3.406
2223,18.00,3.406
2225,18.00,3.406
2229,18.00,3.406
2231,18.00,3.406
2237,18.00,3.406
2241,18.00,3.406
2245,18.00,3.406
2249,18.00,3.406
2251,18.00,3.406
2255,18.00,3.406
2261,18.00,3.406
2263,18.00,3.406
2267,18.00,3.406
2271,18.00,3.406
2275,18.00,3.407
2277,18.00,3.407
2283,18.00,3.408
2289,18.00,3.409
2293,18.00,3.410
2297,18.00,3.410
2301,18.00,3.410
2303,18.00,3.410
2307,18.00,3.411
2311,18.00,3.411
2315,18.00,3.412
2323,18.00,3.412
2325,18.00,3.412
2327,18.00,3.412
2329,18.00,3.412
2331,18.00,3.412
2333,18.00,3.412
2337,18.00,3.412
2339,18.00,3.412
2341,18.00,3.412
2345,18.00,3.412
2349,18.00,3.412
2351,18.00,3.412
2361,18.00,3.413
2363,18.00,3.412
2365,18.00,3.412
2369,18.00,3.413
2377,18.00,3.413
2379,18.00,3.412
2383,18.00,3.413
2389,18.00,3.413
2393,18.00,3.412
2395,18.00,3.413
2399,18.00,3.413
2403,18.00,3.413
2407,18.00,3.413
2409,18.00,3.413
2419,18.00,3.413
2421,18.00,3.413
2425,18.00,3.413
2429,18.00,3.413
2435,18.00,3.413
2437,18.00,3.413
2441,18.00,3.413
2443,18.00,3.413
2445,18.00,3.413
2449,18.00,3.413
2455,18.00,3.413
2463,18.00,3.413
2467,18.00,3.413
2485,18.00,3.413
2487,18.00,3.413
2491,18.00,3.414
2493,18.00,3.414
2495,18.00,3.415
2497,18.00,3.415
2501,18.00,3.416
2509,18.00,3.418
2513,18.00,3.419
2515,18.00,3.420
2517,18.00,3.420
2521,18.00,3.420
2523,18.00,3.420
2525,18.00,3.420
2527,18.00,3.420
2529,18.00,3.420
2531,18.00,3.420
2537,18.00,3.420
2541,18.00,3.420
2543,18.00,3.420
2545,18.00,3.420
2549,18.00,3.420
2553,18.00,3.420
2557,18.00,3.420
2563,18.00,3.420
2567,18.00,3.420
2571,18.00,3.420
2575,18.00,3.420
2581,18.00,3.420
2583,18.00,3.420
2587,18.00,3.420
2591,18.00,3.420
2595,18.00,3.420
2597,18.00,3.420
2599,18.00,3.420
2601,18.00,3.420
2611,18.00,3.420
2615,18.00,3.420
2617,18.00,3.420
2621,18.00,3.420
2629,18.00,3.420
2633,18.00,3.420
2637,18.00,3.420
2643,18.00,3.421
2647,18.00,3.423
2653,18.00,3.425
2665,18.00,3.427
2667,18.00,3.427
2671,18.00,3.427
2677,18.00,3.427
2681,18.00,3.427
2685,18.00,3.428
2687,18.00,3.428
2691,18.00,3.428
2695,18.00,3.428
2697,18.00,3.428
2699,18.00,3.428
2705,18.00,3.428
2707,18.00,3.428
2709,18.00,3.428
2711,18.00,3.428
2713,18.00,3.428
2719,18.00,3.428
2723,18.00,3.428
2725,18.00,3.428
2727,18.00,3.428
2733,18.00,3.428
2737,18.00,3.428
2745,18.00,3.429
2747,18.00,3.430
2751,18.00,3.430
2757,18.00,3.433
2759,18.00,3.434
2765,18.00,3.434
2767,18.00,3.434
2769,18.00,3.434
2771,18.00,3.434
2775,18.00,3.434
2779,18.00,3.435
2785,18.00,3.435
2789,18.00,3.435
2793,18.00,3.435
2797,18.00,3.435
2803,18.00,3.435
2805,18.00,3.435
2817,18.00,3.435
2821,18.00,3.435
2823,18.00,3.435
2831,18.00,3.435
2835,18.00,3.437
2837,18.00,3.438
2839,18.00,3.439
2843,18.00,3.440
2847,18.00,3.441
2855,18.00,3.442
2859,18.00,3.442
2861,18.00,3.442
2865,18.00,3.442
2867,18.00,3.442
2871,18.00,3.442
2875,18.00,3.442
2877,18.00,3.442
2879,18.00,3.442
2883,18.00,3.442
2889,18.00,3.442
2897,18.00,3.443
2899,18.00,3.444
2903,18.00,3.447
2905,18.00,3.448
2907,18.00,3.449
2911,18.00,3.449
2915,18.00,3.449
2921,18.00,3.449
2933,18.00,3.450
2937,18.00,3.450
2939,18.00,3.450
2943,18.00,3.450
2945,18.00,3.450
2949,18.00,3.450
2953,18.00,3.450
2957,18.00,3.450
2963,18.00,3.451
2965,18.00,3.453
2973,18.00,3.456
2979,18.00,3.456
2983,18.00,3.457
2987,18.00,3.457
2989,18.00,3.457
2993,18.00,3.457
2995,18.00,3.457
3011,18.00,3.457
3017,18.00,3.458
3019,18.00,3.459
3023,18.00,3.461
3025,18.00,3.463
3029,18.00,3.463
3033,18.00,3.463
3039,18.00,3.463
3041,18.00,3.464
3043,18.00,3.464
3045,18.00,3.464
3049,18.00,3.464
3059,18.00,3.464
3063,18.00,3.464
3065,18.00,3.464
3073,18.00,3.465
3077,18.00,3.469
3079,18.00,3.470
3081,18.00,3.471
3089,18.00,3.471
3091,18.00,3.471
3093,18.00,3.471
3095,18.00,3.471
3099,18.00,3.471
3103,18.00,3.471
3105,18.00,3.471
3109,18.00,3.471
3113,18.00,3.471
3119,18.00,3.473
3123,18.00,3.477
3127,18.00,3.478
3129,18.00,3.478
3133,18.00,3.478
3141,18.00,3.479
3149,18.00,3.479
3151,18.00,3.479
3155,18.00,3.479
3157,18.00,3.479
3159,18.00,3.479
3163,18.00,3.481
3165,18.00,3.482
3167,18.00,3.484
3169,18.00,3.485
3175,18.00,3.485
3181,18.00,3.486
3183,18.00,3.486
3187,18.00,3.486
3191,18.00,3.486
3195,18.00,3.486
3197,18.00,3.486
3199,18.00,3.487
3203,18.00,3.492
3205,18.00,3.492
3207,18.00,3.492
3215,18.00,3.493
3219,18.00,3.493
3225,18.00,3.493
3227,18.00,3.493
3233,18.00,3.493
3239,18.00,3.494
3243,18.00,3.499
3245,18.00,3.500
3249,18.00,3.500
3253,18.00,3.501
3255,18.00,3.501
3261,18.00,3.501
3263,18.00,3.502
3267,18.00,3.507
3271,18.00,3.507
3273,18.00,3.508
3275,18.00,3.508
3285,18.00,3.508
3289,18.00,3.508
3299,18.00,3.514
3305,18.00,3.515
3309,18.00,3.515
3311,18.00,3.515
3315,18.00,3.521
3317,18.00,3.522
3325,18.00,3.523
3327,18.00,3.523
3329,18.00,3.523
3333,18.00,3.523
3337,18.00,3.529
3339,18.00,3.529
3351,18.00,3.530
3353,18.00,3.533
