-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.006,0.021
*1-2,Wait,0,0
*1-3,C-CV,0.066,0.236
*1-4,Wait,0,0
*2-1,D-CC,0.006,0.022
*2-2,Wait,0,0
*2-3,C-CV,0.012,0.044
*2-4,Wait,0,0
*3-1,D-CC,0.006,0.022
*3-2,Wait,0,0
*3-3,C-CV,0.010,0.036
*3-4,Wait,0,0
*4-1,D-CC,0.006,0.022
*4-2,Wait,0,0
*4-3,C-CV,0.010,0.036
*4-4,Wait,0,0
*5-1,D-CC,0.006,0.022
*5-2,Wait,0,0
*5-3,C-CV,0.009,0.033
*5-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.36,3.595
0,0.36,3.587
4,0.36,3.574
6,0.36,3.566
8,0.35,3.565
12,0.36,3.553
14,0.36,3.552
18,0.36,3.544
22,0.36,3.537
26,0.36,3.530
28,0.36,3.530
30,0.36,3.529
32,0.36,3.523
36,0.36,3.522
44,0.36,3.514
48,0.36,3.508
54,0.36,3.507
58,0.36,3.507
58,0.36,3.501
64,0.00,3.504
66,0.00,3.502
68,0.00,3.501
70,0.00,3.501
74,0.00,3.501
76,0.00,3.501
80,0.00,3.501
84,0.00,3.501
86,0.00,3.501
90,0.00,3.500
94,0.00,3.500
105,0.00,3.493
107,0.00,3.493
109,0.00,3.493
119,0.00,3.493
123,0.36,3.493
125,0.36,3.496
129,0.36,3.500
131,0.36,3.501
133,0.36,3.501
135,0.36,3.501
139,0.36,3.501
142,0.36,3.501
144,0.36,3.502
148,0.36,3.506
153,0.36,3.507
157,0.36,3.507
160,0.36,3.508
164,0.36,3.508
166,0.36,3.508
172,0.36,3.508
174,0.36,3.508
176,0.36,3.508
178,0.36,3.508
180,0.36,3.508
187,0.36,3.512
189,0.36,3.513
193,0.36,3.514
196,0.36,3.514
199,0.36,3.515
204,0.36,3.515
206,0.36,3.515
212,0.36,3.515
214,0.36,3.515
216,0.36,3.515
223,0.36,3.516
224,0.36,3.519
228,0.36,3.522
232,0.36,3.522
246,0.36,3.523
250,0.36,3.523
252,0.36,3.523
256,0.36,3.523
259,0.36,3.523
260,0.36,3.523
262,0.36,3.523
264,0.36,3.525
268,0.36,3.529
272,0.36,3.529
276,0.36,3.530
278,0.36,3.530
283,0.36,3.530
285,0.36,3.530
287,0.36,3.530
301,0.36,3.535
305,0.36,3.536
318,0.36,3.537
322,0.36,3.537
328,0.36,3.537
332,0.36,3.538
334,0.36,3.541
338,0.36,3.543
344,0.36,3.544
350,0.36,3.544
352,0.36,3.544
354,0.36,3.544
358,0.36,3.544
360,0.36,3.544
364,0.36,3.545
370,0.36,3.551
382,0.36,3.552
386,0.36,3.552
388,0.36,3.552
392,0.36,3.552
404,0.36,3.558
408,0.36,3.559
410,0.36,3.558
412,0.36,3.559
414,0.36,3.559
416,0.36,3.559
418,0.36,3.559
420,0.36,3.559
426,0.36,3.562
428,0.36,3.564
430,0.36,3.565
432,0.36,3.565
434,0.36,3.565
436,0.36,3.565
442,0.36,3.566
444,0.36,3.566
448,0.36,3.566
452,0.36,3.566
454,0.36,3.567
460,0.36,3.573
464,0.36,3.574
466,0.36,3.574
470,0.36,3.574
472,0.36,3.574
474,0.36,3.574
476,0.36,3.574
478,0.36,3.574
482,0.36,3.578
488,0.36,3.580
492,0.36,3.581
494,0.36,3.581
504,0.36,3.581
508,0.36,3.583
512,0.36,3.587
514,0.36,3.587
518,0.36,3.588
520,0.36,3.588
522,0.36,3.588
524,0.36,3.588
526,0.36,3.588
528,0.36,3.588
530,0.36,3.588
532,0.36,3.590
534,0.36,3.594
538,0.36,3.594
540,0.36,3.595
