-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,2.955,10.31
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.282
0,0.00,3.282
1,18.00,3.340
5,18.00,3.348
7,18.00,3.354
9,18.00,3.355
11,18.00,3.359
13,18.00,3.362
15,18.00,3.362
17,18.00,3.362
19,18.00,3.368
21,18.00,3.369
23,18.00,3.369
25,18.00,3.369
27,18.00,3.369
29,18.00,3.375
31,18.00,3.376
43,18.00,3.378
45,18.00,3.382
47,18.00,3.383
49,18.00,3.384
53,18.00,3.384
55,18.00,3.384
57,18.00,3.384
59,18.00,3.384
63,18.00,3.389
65,18.00,3.390
67,18.00,3.390
69,18.00,3.390
71,18.00,3.390
73,18.00,3.391
75,18.00,3.391
77,18.00,3.391
79,18.00,3.391
81,18.00,3.391
83,18.00,3.391
85,18.00,3.391
87,18.00,3.391
89,18.00,3.391
91,18.00,3.391
93,18.00,3.392
95,18.00,3.395
97,18.00,3.397
101,18.00,3.398
103,18.00,3.398
105,18.00,3.398
107,18.00,3.398
109,18.00,3.398
111,18.00,3.399
113,18.00,3.399
115,18.00,3.399
117,18.00,3.399
119,18.00,3.399
121,18.00,3.399
123,18.00,3.399
125,18.00,3.399
127,18.00,3.399
129,18.00,3.399
131,18.00,3.399
133,18.00,3.399
135,18.00,3.399
137,18.00,3.399
139,18.00,3.399
141,18.00,3.399
143,18.00,3.400
145,18.00,3.402
149,18.00,3.404
151,18.00,3.405
153,18.00,3.405
155,18.00,3.405
157,18.00,3.405
159,18.00,3.405
161,18.00,3.405
163,18.00,3.405
165,18.00,3.405
167,18.00,3.406
169,18.00,3.406
171,18.00,3.406
173,18.00,3.406
175,18.00,3.406
177,18.00,3.406
179,18.00,3.406
181,18.00,3.406
183,18.00,3.406
185,18.00,3.406
187,18.00,3.406
189,18.00,3.406
191,18.00,3.406
193,18.00,3.406
197,18.00,3.406
199,18.00,3.406
201,18.00,3.406
203,18.00,3.406
205,18.00,3.406
207,18.00,3.406
209,18.00,3.406
211,18.00,3.406
213,18.00,3.407
215,18.00,3.408
217,18.00,3.409
219,18.00,3.410
221,18.00,3.411
223,18.00,3.412
225,18.00,3.412
227,18.00,3.412
229,18.00,3.412
231,18.00,3.412
233,18.00,3.412
235,18.00,3.412
237,18.00,3.412
239,18.00,3.412
241,18.00,3.413
245,18.00,3.413
247,18.00,3.413
249,18.00,3.413
251,18.00,3.413
253,18.00,3.413
255,18.00,3.413
257,18.00,3.413
259,18.00,3.413
263,18.00,3.413
265,18.00,3.413
267,18.00,3.413
269,18.00,3.413
271,18.00,3.413
273,18.00,3.413
275,18.00,3.413
277,18.00,3.414
279,18.00,3.415
281,18.00,3.416
283,18.00,3.418
285,18.00,3.419
287,18.00,3.420
289,18.00,3.420
293,18.00,3.420
295,18.00,3.420
297,18.00,3.420
299,18.00,3.420
301,18.00,3.420
303,18.00,3.420
305,18.00,3.420
309,18.00,3.420
311,18.00,3.420
313,18.00,3.420
315,18.00,3.420
317,18.00,3.420
319,18.00,3.420
321,18.00,3.420
323,18.00,3.420
325,18.00,3.420
327,18.00,3.421
329,18.00,3.423
331,18.00,3.425
333,18.00,3.427
335,18.00,3.427
337,18.00,3.427
341,18.00,3.428
343,18.00,3.428
345,18.00,3.428
347,18.00,3.428
349,18.00,3.428
351,18.00,3.428
353,18.00,3.428
355,18.00,3.428
357,18.00,3.430
359,18.00,3.433
361,18.00,3.434
363,18.00,3.434
365,18.00,3.434
367,18.00,3.435
369,18.00,3.435
371,18.00,3.435
373,18.00,3.435
375,18.00,3.435
377,18.00,3.436
379,18.00,3.440
381,18.00,3.441
383,18.00,3.442
385,18.00,3.442
389,18.00,3.442
391,18.00,3.448
393,18.00,3.449
395,18.00,3.450
397,18.00,3.450
399,18.00,3.450
401,18.00,3.452
403,18.00,3.456
405,18.00,3.457
407,18.00,3.457
409,18.00,3.457
411,18.00,3.461
413,18.00,3.463
415,18.00,3.464
417,18.00,3.464
419,18.00,3.464
421,18.00,3.471
423,18.00,3.471
425,18.00,3.471
427,18.00,3.471
429,18.00,3.478
431,18.00,3.478
433,18.00,3.479
437,18.00,3.485
439,18.00,3.486
441,18.00,3.486
443,18.00,3.486
445,18.00,3.492
447,18.00,3.493
449,18.00,3.493
451,18.00,3.493
453,18.00,3.495
455,18.00,3.500
457,18.00,3.501
459,18.00,3.502
461,18.00,3.507
463,18.00,3.508
465,18.00,3.508
467,18.00,3.509
469,18.00,3.514
471,18.00,3.515
473,18.00,3.515
475,18.00,3.521
477,18.00,3.522
479,18.00,3.523
481,18.00,3.523
485,18.00,3.530
487,18.00,3.530
489,18.00,3.536
491,18.00,3.537
493,18.00,3.537
495,18.00,3.543
497,18.00,3.544
499,18.00,3.544
501,18.00,3.551
503,18.00,3.552
505,18.00,3.552
507,18.00,3.558
509,18.00,3.559
511,18.00,3.565
513,18.00,3.566
515,18.00,3.573
517,18.00,3.574
519,18.00,3.580
521,18.00,3.581
523,18.00,3.587
525,18.00,3.588
527,18.00,3.595
529,18.00,3.602
533,18.00,3.610
535,18.00,3.616
537,18.00,3.624
539,18.00,3.630
541,18.00,3.637
543,18.00,3.641
545,17.89,3.650
547,16.54,3.650
549,15.73,3.650
551,15.07,3.650
553,14.50,3.650
555,13.96,3.650
557,13.48,3.650
559,13.01,3.650
561,12.57,3.650
563,12.21,3.650
565,11.83,3.650
567,11.45,3.650
569,11.10,3.650
571,10.74,3.650
573,10.42,3.650
575,10.11,3.650
577,9.82,3.650
579,9.52,3.650
583,8.90,3.650
585,8.62,3.650
587,8.31,3.650
589,8.01,3.650
591,7.75,3.650
593,7.43,3.650
595,7.14,3.650
597,6.83,3.650
599,6.53,3.650
601,6.22,3.650
603,5.93,3.650
605,5.63,3.650
607,5.36,3.650
609,5.07,3.650
611,4.77,3.650
613,4.49,3.650
615,4.22,3.650
617,3.94,3.650
619,3.70,3.650
621,3.48,3.650
623,3.26,3.650
625,3.03,3.650
627,2.84,3.650
629,2.64,3.650
631,2.47,3.650
633,2.33,3.650
635,2.19,3.650
637,2.06,3.650
639,1.92,3.650
641,1.84,3.650
643,1.73,3.650
645,1.64,3.650
647,1.56,3.650
649,1.49,3.650
651,1.41,3.650
653,1.37,3.650
655,1.29,3.650
657,1.25,3.650
659,1.19,3.650
661,1.16,3.650
663,1.12,3.650
665,1.08,3.650
667,1.04,3.650
669,1.02,3.650
671,0.99,3.650
673,0.95,3.650
675,0.92,3.650
677,0.91,3.650
679,0.87,3.650
681,0.86,3.650
683,0.83,3.650
685,0.80,3.650
687,0.79,3.650
689,0.78,3.650
691,0.75,3.650
693,0.74,3.650
695,0.73,3.650
697,0.71,3.650
699,0.70,3.650
701,0.68,3.650
703,0.66,3.650
705,0.65,3.650
707,0.65,3.650
709,0.62,3.650
711,0.62,3.650
713,0.59,3.650
713,0.59,3.650
