-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,18.21,57.72
*1-2,Wait,0,0
*1-3,D-CC,0.110,0.285
*1-4,Wait,0,0
*1-5,D-CC,0.081,0.206
*1-6,D-CC,0.013,0.033
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.632
0,0.00,3.632
1,9.00,3.573
3,9.00,3.525
5,9.00,3.493
7,9.00,3.465
9,9.00,3.445
11,9.00,3.431
13,9.00,3.420
15,9.00,3.409
17,9.00,3.399
19,9.00,3.392
21,9.00,3.389
23,9.00,3.383
27,9.00,3.372
29,9.00,3.369
31,9.00,3.362
33,9.00,3.361
35,9.00,3.355
37,9.00,3.354
39,9.00,3.348
41,9.00,3.348
43,9.00,3.343
45,9.00,3.340
47,9.00,3.338
49,9.00,3.333
51,9.00,3.333
53,9.00,3.328
55,9.00,3.326
57,9.00,3.325
59,9.00,3.319
61,9.00,3.318
63,9.00,3.317
65,9.00,3.315
69,9.00,3.311
71,9.00,3.310
73,9.00,3.305
75,9.00,3.304
77,9.00,3.304
79,9.00,3.302
81,9.00,3.297
83,9.00,3.297
85,9.00,3.297
87,9.00,3.295
89,9.00,3.290
91,9.00,3.289
93,9.00,3.288
95,9.00,3.288
97,9.00,3.286
99,9.00,3.283
101,9.00,3.282
103,9.00,3.282
105,9.00,3.281
107,9.00,3.280
109,9.00,3.276
111,9.00,3.275
113,9.00,3.275
115,9.00,3.275
117,9.00,3.274
119,9.00,3.274
121,9.00,3.272
123,9.00,3.269
125,9.00,3.267
127,9.00,3.267
129,9.00,3.266
131,9.00,3.266
133,9.00,3.265
135,9.00,3.262
137,9.00,3.260
139,9.00,3.260
141,9.00,3.260
143,9.00,3.260
145,9.00,3.260
147,9.00,3.260
149,9.00,3.259
151,9.00,3.259
153,9.00,3.259
155,9.00,3.259
157,9.00,3.259
161,9.00,3.256
163,9.00,3.256
165,9.00,3.254
167,9.00,3.254
169,9.00,3.253
171,9.00,3.253
173,9.00,3.253
175,9.00,3.253
177,9.00,3.253
179,9.00,3.253
181,9.00,3.253
183,9.00,3.253
185,9.00,3.252
187,9.00,3.252
189,9.00,3.252
191,9.00,3.252
193,9.00,3.252
195,9.00,3.252
197,9.00,3.252
199,9.00,3.252
201,9.00,3.251
203,9.00,3.251
205,9.00,3.250
207,9.00,3.250
209,9.00,3.249
211,9.00,3.249
213,9.00,3.248
215,9.00,3.248
217,9.00,3.247
219,9.00,3.247
221,9.00,3.247
223,9.00,3.246
225,9.00,3.246
227,9.00,3.246
229,9.00,3.246
231,9.00,3.245
233,9.00,3.245
235,9.00,3.245
237,9.00,3.245
239,9.00,3.245
241,9.00,3.245
243,9.00,3.245
245,9.00,3.245
247,9.00,3.245
249,9.00,3.245
251,9.00,3.245
253,9.00,3.245
255,9.00,3.245
257,9.00,3.245
259,9.00,3.245
261,9.00,3.245
263,9.00,3.245
265,9.00,3.245
267,9.00,3.245
269,9.00,3.245
271,9.00,3.245
273,9.00,3.245
275,9.00,3.245
277,9.00,3.245
279,9.00,3.245
281,9.00,3.245
283,9.00,3.245
285,9.00,3.245
287,9.00,3.245
289,9.00,3.245
291,9.00,3.245
293,9.00,3.245
295,9.00,3.245
297,9.00,3.245
299,9.00,3.245
301,9.00,3.245
303,9.00,3.245
305,9.00,3.245
307,9.00,3.245
309,9.00,3.245
311,9.00,3.245
313,9.00,3.245
315,9.00,3.245
317,9.00,3.245
319,9.00,3.245
321,9.00,3.245
323,9.00,3.245
325,9.00,3.245
327,9.00,3.245
329,9.00,3.245
331,9.00,3.245
333,9.00,3.245
335,9.00,3.245
337,9.00,3.245
339,9.00,3.245
341,9.00,3.245
343,9.00,3.245
345,9.00,3.245
347,9.00,3.245
349,9.00,3.245
351,9.00,3.245
353,9.00,3.245
355,9.00,3.245
357,9.00,3.245
359,9.00,3.245
361,9.00,3.245
363,9.00,3.245
365,9.00,3.245
367,9.00,3.245
369,9.00,3.245
371,9.00,3.245
373,9.00,3.245
375,9.00,3.245
377,9.00,3.245
379,9.00,3.245
381,9.00,3.245
383,9.00,3.245
385,9.00,3.245
387,9.00,3.245
389,9.00,3.245
391,9.00,3.245
393,9.00,3.245
395,9.00,3.245
397,9.00,3.245
399,9.00,3.245
401,9.00,3.245
403,9.00,3.245
405,9.00,3.245
407,9.00,3.245
409,9.00,3.245
411,9.00,3.245
413,9.00,3.245
415,9.00,3.245
417,9.00,3.245
419,9.00,3.245
421,9.00,3.245
423,9.00,3.245
425,9.00,3.245
