-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.006,0.021
*1-2,Wait,0,0
*1-3,C-CV,0.038,0.137
*1-4,Wait,0,0
*2-1,D-CC,0.006,0.022
*2-2,Wait,0,0
*2-3,C-CV,0.012,0.044
*2-4,Wait,0,0
*3-1,D-CC,0.006,0.022
*3-2,Wait,0,0
*3-3,C-CV,0.010,0.036
*3-4,Wait,0,0
*4-1,D-CC,0.006,0.022
*4-2,Wait,0,0
*4-3,C-CV,0.009,0.033
*4-4,Wait,0,0
*5-1,D-CC,0.006,0.022
*5-2,Wait,0,0
*5-3,C-CV,0.009,0.033
*5-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.604
0,0.00,3.603
1,0.36,3.602
3,0.36,3.595
5,0.36,3.595
7,0.36,3.594
9,0.36,3.588
11,0.36,3.588
13,0.36,3.584
15,0.36,3.581
17,0.36,3.581
19,0.36,3.580
21,0.36,3.574
23,0.36,3.574
25,0.36,3.573
27,0.36,3.568
29,0.36,3.566
31,0.36,3.566
33,0.36,3.565
35,0.36,3.564
37,0.36,3.559
39,0.36,3.559
41,0.36,3.558
43,0.36,3.555
45,0.36,3.552
47,0.36,3.552
49,0.36,3.552
51,0.36,3.552
53,0.36,3.551
55,0.36,3.545
57,0.36,3.544
59,0.36,3.544
59,0.36,3.544
61,0.00,3.544
63,0.00,3.544
65,0.00,3.544
67,0.00,3.544
69,0.00,3.544
71,0.00,3.544
73,0.00,3.544
75,0.00,3.544
77,0.00,3.544
79,0.00,3.544
81,0.00,3.544
83,0.00,3.544
85,0.00,3.544
87,0.00,3.544
89,0.00,3.544
91,0.00,3.543
93,0.00,3.544
95,0.00,3.544
97,0.00,3.543
99,0.00,3.543
101,0.00,3.543
103,0.00,3.543
105,0.00,3.543
107,0.00,3.543
109,0.00,3.543
111,0.00,3.543
113,0.00,3.543
115,0.00,3.543
117,0.00,3.541
119,0.00,3.540
121,0.00,3.539
123,0.00,3.537
124,0.00,3.538
125,0.36,3.543
127,0.36,3.544
129,0.36,3.543
131,0.36,3.544
133,0.36,3.544
135,0.36,3.544
137,0.36,3.547
139,0.36,3.551
141,0.36,3.551
143,0.36,3.552
145,0.36,3.552
147,0.36,3.552
149,0.36,3.552
151,0.36,3.552
153,0.36,3.552
155,0.36,3.552
157,0.36,3.552
159,0.36,3.554
161,0.36,3.558
163,0.36,3.558
165,0.36,3.559
167,0.36,3.559
169,0.36,3.559
171,0.36,3.559
173,0.36,3.559
175,0.36,3.559
177,0.36,3.559
179,0.36,3.561
181,0.36,3.564
183,0.36,3.565
185,0.36,3.565
187,0.36,3.566
189,0.36,3.566
191,0.36,3.566
193,0.36,3.566
195,0.36,3.566
197,0.36,3.566
199,0.36,3.566
201,0.36,3.566
203,0.36,3.568
205,0.36,3.572
207,0.36,3.573
209,0.36,3.573
211,0.36,3.573
213,0.36,3.574
215,0.36,3.574
217,0.36,3.574
219,0.36,3.574
221,0.36,3.574
223,0.36,3.574
225,0.36,3.574
227,0.36,3.577
229,0.36,3.580
231,0.36,3.580
233,0.36,3.580
235,0.36,3.581
237,0.36,3.581
239,0.36,3.581
241,0.36,3.581
243,0.36,3.581
245,0.36,3.581
247,0.36,3.581
249,0.36,3.581
251,0.36,3.584
253,0.36,3.586
255,0.36,3.587
257,0.36,3.587
259,0.36,3.587
261,0.36,3.588
263,0.36,3.588
265,0.36,3.588
267,0.36,3.588
269,0.36,3.588
271,0.36,3.588
273,0.36,3.591
275,0.36,3.594
277,0.36,3.594
279,0.36,3.594
281,0.36,3.594
283,0.36,3.595
285,0.36,3.595
287,0.36,3.595
299,0.36,3.602
301,0.36,3.602
303,0.36,3.603
305,0.36,3.603
307,0.36,3.603
319,0.36,3.609
321,0.36,3.609
323,0.36,3.609
325,0.36,3.610
