-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,C-CV,0.000,0.000
*1-2,Wait,0,0
*1-3,D-CC,0.055,0.141
*1-4,Wait,0,0
*2-1,C-CV,0.005,0.013
*2-2,Wait,0,0
*2-3,D-CC,0.011,0.028
*2-4,Wait,0,0
*3-1,C-CV,0.005,0.013
*3-2,Wait,0,0
*3-3,D-CC,0.010,0.025
*3-4,Wait,0,0
*4-1,C-CV,0.005,0.013
*4-2,Wait,0,0
*4-3,D-CC,0.010,0.025
*4-4,Wait,0,0
*5-1,C-CV,0.005,0.013
*5-2,Wait,0,0
*5-3,D-CC,0.010,0.025
*5-4,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.568
0,0.00,2.572
1,0.00,2.574
1,0.00,2.574
1,0.00,2.574
3,0.00,2.575
5,0.00,2.575
7,0.00,2.575
9,0.00,2.575
11,0.00,2.575
13,0.00,2.575
15,0.00,2.578
17,0.00,2.581
19,0.00,2.581
21,0.00,2.581
23,0.00,2.582
25,0.00,2.582
27,0.00,2.582
29,0.00,2.582
31,0.00,2.582
33,0.00,2.582
35,0.00,2.582
37,0.00,2.582
39,0.00,2.583
41,0.00,2.586
43,0.00,2.588
45,0.00,2.589
47,0.00,2.589
49,0.00,2.589
51,0.00,2.589
53,0.00,2.589
55,0.00,2.589
57,0.00,2.589
59,0.00,2.589
61,0.00,2.589
63,0.00,2.589
65,0.00,2.589
66,0.00,2.589
67,0.36,2.589
69,0.36,2.589
71,0.36,2.589
73,0.36,2.589
75,0.36,2.589
77,0.36,2.589
79,0.36,2.589
81,0.36,2.589
83,0.36,2.589
85,0.36,2.589
87,0.36,2.588
89,0.36,2.587
91,0.36,2.586
93,0.36,2.585
95,0.36,2.584
97,0.36,2.583
99,0.36,2.582
101,0.36,2.582
103,0.36,2.582
105,0.36,2.582
107,0.36,2.582
109,0.36,2.582
111,0.36,2.582
113,0.36,2.582
115,0.36,2.582
117,0.36,2.582
119,0.36,2.582
121,0.36,2.582
123,0.36,2.582
125,0.36,2.582
127,0.36,2.582
129,0.36,2.582
131,0.36,2.582
133,0.36,2.582
135,0.36,2.582
137,0.36,2.582
139,0.36,2.581
141,0.36,2.581
143,0.36,2.581
145,0.36,2.581
147,0.36,2.581
149,0.36,2.581
151,0.36,2.581
153,0.36,2.581
155,0.36,2.580
157,0.36,2.578
159,0.36,2.578
161,0.36,2.576
