-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,1.796,5.781
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,18.00,3.529
0,18.00,3.442
6,18.00,3.348
10,18.00,3.327
15,18.00,3.304
21,18.00,3.287
26,18.00,3.276
31,18.00,3.262
39,18.00,3.249
41,18.00,3.245
43,18.00,3.244
45,18.00,3.240
48,18.00,3.237
49,18.00,3.235
52,18.00,3.232
54,18.00,3.230
56,18.00,3.229
59,18.00,3.224
63,18.00,3.222
68,18.00,3.218
69,18.00,3.216
71,18.00,3.216
75,18.00,3.215
80,18.00,3.212
82,18.00,3.211
86,18.00,3.209
87,18.00,3.209
89,18.00,3.208
92,18.00,3.208
95,18.00,3.207
99,18.00,3.205
101,18.00,3.205
103,18.00,3.205
105,18.00,3.204
109,18.00,3.204
115,18.00,3.203
117,18.00,3.203
122,18.00,3.203
124,18.00,3.202
126,18.00,3.202
127,18.00,3.202
131,18.00,3.202
133,18.00,3.202
135,18.00,3.202
141,18.00,3.202
143,18.00,3.202
147,18.00,3.202
151,18.00,3.201
153,18.00,3.202
157,18.00,3.201
183,18.00,3.201
187,18.00,3.201
191,18.00,3.201
193,18.00,3.201
197,18.00,3.201
199,18.00,3.201
203,18.00,3.201
206,18.00,3.201
211,18.00,3.200
217,18.00,3.200
221,18.00,3.200
225,18.00,3.200
227,18.00,3.200
233,18.00,3.200
235,18.00,3.200
237,18.00,3.199
241,18.00,3.199
259,18.00,3.199
265,18.00,3.199
269,18.00,3.199
273,18.00,3.199
277,18.00,3.199
281,18.00,3.198
283,18.00,3.198
287,18.00,3.198
295,18.00,3.198
297,18.00,3.198
301,18.00,3.198
313,18.00,3.198
315,18.00,3.198
317,18.00,3.198
321,18.00,3.198
325,18.00,3.198
329,18.00,3.198
333,18.00,3.197
335,18.00,3.197
337,18.00,3.197
339,18.00,3.197
347,18.00,3.197
353,18.00,3.197
357,18.00,3.197
361,0.00,3.253
