-----------EB Tester Software-----------,,,,,
*Step,Mode,Capacity,Energy,,
*1-1,D-CC,0.118,0.309,,
*1-2,Wait,0,0,,
*1-3,C-CV,20.87,69.97,,
*1-4,Wait,0,0,,
*1-5,D-CC,20.8,66.82,,
Title:EB Tester Software,,,,,
------------www.zketech.com--------------,,,,,
Time(S),Cur(A),Vol(V),Step,disAh,chgAh
0,0,2.719,1,0.000,0
0,0,2.718,1,0.000,0
1,4.4,2.701,1,0.000,0
3,4.4,2.698,1,0.002,0
5,4.4,2.691,1,0.005,0
7,4.4,2.691,1,0.007,0
9,4.4,2.684,1,0.010,0
11,4.4,2.683,1,0.012,0
13,4.4,2.677,1,0.015,0
15,4.4,2.677,1,0.017,0
17,4.4,2.671,1,0.020,0
19,4.4,2.67,1,0.022,0
21,4.4,2.664,1,0.024,0
23,4.4,2.662,1,0.027,0
25,4.4,2.658,1,0.029,0
27,4.4,2.655,1,0.032,0
29,4.4,2.651,1,0.034,0
31,4.4,2.648,1,0.037,0
33,4.4,2.646,1,0.039,0
35,4.4,2.64,1,0.042,0
37,4.4,2.639,1,0.044,0
39,4.4,2.633,1,0.046,0
41,4.4,2.63,1,0.049,0
43,4.4,2.626,1,0.051,0
45,4.4,2.619,1,0.054,0
47,4.4,2.619,1,0.056,0
49,4.4,2.612,1,0.059,0
51,4.4,2.61,1,0.061,0
53,4.4,2.604,1,0.064,0
55,4.4,2.603,1,0.066,0
57,4.4,2.597,1,0.068,0
59,4.4,2.596,1,0.071,0
61,4.4,2.589,1,0.073,0
63,4.4,2.585,1,0.076,0
65,4.4,2.582,1,0.078,0
67,4.4,2.575,1,0.081,0
69,4.4,2.574,1,0.083,0
71,4.4,2.568,1,0.086,0
73,4.4,2.56,1,0.088,0
75,4.4,2.559,1,0.090,0
77,4.4,2.553,1,0.093,0
79,4.4,2.546,1,0.095,0
81,4.4,2.545,1,0.098,0
83,4.4,2.538,1,0.100,0
85,4.4,2.531,1,0.103,0
87,4.4,2.525,1,0.105,0
89,4.4,2.523,1,0.108,0
91,4.4,2.517,1,0.110,0
93,4.4,2.509,1,0.112,0
95,4.4,2.502,1,0.115,0
97,4.4,2.5,1,0.117,0
97,4.4,2.5,1,0.117,0
98,0,2.517,2,0,0
100,0,2.521,2,0,0
102,0,2.524,2,0,0
104,0,2.524,2,0,0
106,0,2.524,2,0,0
108,0,2.53,2,0,0
110,0,2.53,2,0,0
112,0,2.531,2,0,0
114,0,2.531,2,0,0
116,0,2.531,2,0,0
118,0,2.531,2,0,0
120,0,2.531,2,0,0
122,0,2.534,2,0,0
124,0,2.537,2,0,0
126,0,2.537,2,0,0
128,0,2.538,2,0,0
130,0,2.538,2,0,0
132,0,2.538,2,0,0
134,0,2.538,2,0,0
136,0,2.538,2,0,0
138,0,2.538,2,0,0
140,0,2.538,2,0,0
142,0,2.538,2,0,0
144,0,2.538,2,0,0
146,0,2.539,2,0,0
148,0,2.542,2,0,0
150,0,2.544,2,0,0
152,0,2.545,2,0,0
154,0,2.545,2,0,0
156,0,2.545,2,0,0
158,0,2.545,2,0,0
160,0,2.545,2,0,0
162,0,2.546,2,0,0
164,0,2.546,2,0,0
166,0,2.546,2,0,0
168,0,2.546,2,0,0
170,0,2.546,2,0,0
172,0,2.546,2,0,0
174,0,2.546,2,0,0
176,0,2.546,2,0,0
178,0,2.546,2,0,0
180,0,2.546,2,0,0
182,0,2.546,2,0,0
184,0,2.546,2,0,0
186,0,2.546,2,0,0
188,0,2.546,2,0,0
190,0,2.547,2,0,0
192,0,2.547,2,0,0
194,0,2.549,2,0,0
196,0,2.551,2,0,0
198,0,2.552,2,0,0
200,0,2.552,2,0,0
202,0,2.552,2,0,0
204,0,2.552,2,0,0
206,0,2.552,2,0,0
208,0,2.553,2,0,0
210,0,2.552,2,0,0
212,0,2.553,2,0,0
214,0,2.553,2,0,0
216,0,2.553,2,0,0
218,0,2.553,2,0,0
220,0,2.553,2,0,0
222,0,2.553,2,0,0
224,0,2.553,2,0,0
226,0,2.553,2,0,0
228,0,2.553,2,0,0
230,0,2.553,2,0,0
232,0,2.553,2,0,0
234,0,2.553,2,0,0
236,0,2.553,2,0,0
238,0,2.553,2,0,0
240,0,2.553,2,0,0
242,0,2.553,2,0,0
244,0,2.553,2,0,0
246,0,2.553,2,0,0
248,0,2.553,2,0,0
250,0,2.553,2,0,0
252,0,2.554,2,0,0
254,0,2.555,2,0,0
256,0,2.556,2,0,0
258,0,2.558,2,0,0
260,0,2.558,2,0,0
262,0,2.559,2,0,0
264,0,2.559,2,0,0
266,0,2.559,2,0,0
268,0,2.559,2,0,0
270,0,2.559,2,0,0
272,0,2.559,2,0,0
274,0,2.559,2,0,0
276,0,2.559,2,0,0
278,0,2.56,2,0,0
280,0,2.559,2,0,0
282,0,2.56,2,0,0
284,0,2.56,2,0,0
286,0,2.56,2,0,0
288,0,2.56,2,0,0
290,0,2.56,2,0,0
292,0,2.56,2,0,0
294,0,2.56,2,0,0
296,0,2.56,2,0,0
298,0,2.56,2,0,0
300,0,2.56,2,0,0
302,0,2.56,2,0,0
304,0,2.56,2,0,0
306,0,2.56,2,0,0
308,0,2.56,2,0,0
310,0,2.56,2,0,0
312,0,2.56,2,0,0
314,0,2.56,2,0,0
316,0,2.56,2,0,0
318,0,2.56,2,0,0
320,0,2.56,2,0,0
322,0,2.56,2,0,0
324,0,2.56,2,0,0
326,0,2.56,2,0,0
328,0,2.56,2,0,0
330,0,2.56,2,0,0
332,0,2.56,2,0,0
334,0,2.56,2,0,0
336,0,2.56,2,0,0
338,0,2.56,2,0,0
340,0,2.56,2,0,0
342,0,2.56,2,0,0
344,0,2.56,2,0,0
346,0,2.561,2,0,0
348,0,2.562,2,0,0
350,0,2.563,2,0,0
352,0,2.564,2,0,0
354,0,2.564,2,0,0
356,0,2.565,2,0,0
358,0,2.566,2,0,0
360,0,2.567,2,0,0
362,0,2.567,2,0,0
364,0,2.567,2,0,0
366,0,2.567,2,0,0
368,0,2.567,2,0,0
370,0,2.567,2,0,0
372,0,2.567,2,0,0
374,0,2.567,2,0,0
376,0,2.567,2,0,0
378,0,2.567,2,0,0
380,0,2.568,2,0,0
382,0,2.568,2,0,0
384,0,2.568,2,0,0
386,0,2.568,2,0,0
388,0,2.568,2,0,0
390,0,2.567,2,0,0
392,0,2.568,2,0,0
394,0,2.568,2,0,0
396,0,2.568,2,0,0
398,0,2.568,2,0,0
400,0,2.568,2,0,0
402,0,2.568,2,0,0
404,0,2.568,2,0,0
406,0,2.568,2,0,0
408,0,2.568,2,0,0
410,0,2.568,2,0,0
412,0,2.568,2,0,0
414,0,2.568,2,0,0
416,0,2.568,2,0,0
418,0,2.568,2,0,0
420,0,2.568,2,0,0
422,0,2.568,2,0,0
424,0,2.568,2,0,0
426,0,2.568,2,0,0
428,0,2.568,2,0,0
430,0,2.568,2,0,0
432,0,2.568,2,0,0
434,0,2.568,2,0,0
436,0,2.568,2,0,0
438,0,2.569,2,0,0
440,0,2.57,2,0,0
442,0,2.571,2,0,0
444,0,2.572,2,0,0
446,0,2.572,2,0,0
448,0,2.573,2,0,0
450,0,2.573,2,0,0
452,0,2.574,2,0,0
454,0,2.574,2,0,0
456,0,2.574,2,0,0
458,0,2.574,2,0,0
460,0,2.574,2,0,0
462,0,2.574,2,0,0
464,0,2.574,2,0,0
466,0,2.574,2,0,0
468,0,2.574,2,0,0
470,0,2.575,2,0,0
472,0,2.575,2,0,0
